_id,area,content,count,date,likes,link,page,pk,title
0,中正區,連辦6年的玩家模型展今年終於跨出第一步，全台60多位模型師打造的188件作品31日受邀至台南市中西區新光三越百貨公司中山店開展，這是辦展的「模友」們首次踏出校園，證明他們對模型藝術的堅持得到外界肯定。從18歲開始投入模型組裝的趙弘強，現實生活中是個開復康巴士的司機，但他醉心模型世界已有27年，從一開始買模型按圖組裝原件，到自己觀察設計，設法從原件模型延伸，作出可搭配模型的生動場景，他作出的場景模型維妙維肖，自成風格，在每屆模型展中，皆得到模友們的讚賞。在工廠從事製造業的王詠輝，擅長將各種動畫模型作成SD造型（Q版模型），他在原模型的塑體，加入自行設計的新配件，將原本的人物模型，改造成想要的新模樣。例如將《妖怪手表》動畫內的卡通人物，改成哆啦Ａ夢造型。高超的製作技法，已有固定模型迷會向他訂購配件。模型一直被侷限在「玩具」，許多模型師也被外界誤解只是成天關在房裡玩玩具的宅男宅女，玩家們連續6年自辦模型展，透過交流，也告訴外界他們的每項作品屬於藝術創作，但礙於經費與人力，連續6屆都在成大校園舉辦。玩家模型展的創辦人張唐祐表示，玩家模型展從無到有，靠著模友們的堅持撐過6年，每年辦展過程十分辛苦，這份努力終於吸引業界目光，新光三越中山店31日起在13樓連續展出23天，分成6區，模友們都拿出最新作品參展，民眾可首次見識到這個需要耐心與創意才能完成作品的新產業。(中時即時)出版編輯：丁世傑,1,2015/10/31 00:00,2468,http://www.chinatimes.com/realtimenews/20151031003573-260405,1,ltn00001,玩家模型展 台南新光三越中山店登場
1,中正區,親民黨總統參選人宋楚瑜，31日晚間在高雄市苓雅區武昌路成立南部競選總部，他開口問「總部設在武昌路是什麼意義？」，台下支持者大聲回應「武昌起義」，接著，宋楚瑜火力全開，大批馬英九總統執政8年的政績及政見都跳票。還痛批扁、馬都曾執政，結果是勝選卻不能勝任。宋楚瑜說，參選不是找位置為席次，而是為台灣的未來，為民主紮根，為世代子孫找回尊嚴與驕傲。如果藍綠不能滿足人民期許，人民就會揭竿起義。宋楚瑜以新加坡為例嘲諷當前台灣政壇現況，新加坡缺水土地又小，卻唯獨不缺人才不缺領導，而台灣缺的領導人。宋楚瑜說，曾跟隨蔣經國身邊7年，學到了如何治國，也深知領導人應該要心中永遠有人民。宋又以四報的頭版新聞是連保一都保不住，變成負一，馬的六三三、愛台十二項建設、黃金十年，有哪一項讓人民滿意，連桃園中正機場航空廈馬都要卸任了才要「招標」，這不是招標而是「糟糕」，台灣人能不生氣嗎？他強調會選在高雄成立南部競選總部是因為擔任省長時，高雄港是全球前三大貨櫃港，如今淪落至此，過去是「台灣錢淹腳目，如今卻是台灣債淹肚臍」。對於兩岸議題，宋說，統獨放兩邊，人民擺中間。(中時即時)出版編輯：王家禕,2,2015/10/31 00:00,3227,http://www.chinatimes.com/realtimenews/20151031003897-260401,1,ltn00002,宋楚瑜南部競選總部成立 高喊「武昌起義」
2,中正區,27歲台荷混血的鄭姓男子，自稱求職不順，在台北流浪多年，經常睡公園或地下道，生活十分坎坷，8月蘇迪勒颱風來襲時，他在公園被暴風雨嚇到，決定努力工作找地方住，但貪圖方便，看到鑰匙沒拔的機車，就順路騎去上班，日前遭警方逮捕。鄭男在警局說起身世眼眶泛紅，表示他在荷蘭出生，父親是荷蘭人，母親是台灣人，但一出生媽媽就離家，8歲時父親過世，他就被送回台灣，交給高雄阿姨寄養。18歲當完兵後，阿姨就要他自力更生，給一些錢叫他搬走，但他求職不順，錢花光後輾轉流浪到台北，這幾年常睡在公園或地下道，有時甚至2天沒吃飯。8月蘇迪勒颱風來襲時，鄭當晚睡在公園，整夜的狂風暴雨讓他嚇得半死，決心要認真工作，找個安穩的地方睡覺，在熱心朋友牽線下，先到萬華某賓館「以工換宿」，接著又找到大同一家餐廳當調酒師。鄭說因為沒有交通工具，本月17日趕著上班，看到路邊有鑰匙沒拔的機車，就順手牽過來騎，下班時發現沒油，又拿這付鑰匙去開別的機車，一天之內連續「偷」了3部車，都是騎完就丟在一旁。中正二分局循線追查，日前趁鄭下班時，在他工作餐廳附近將他逮捕，鄭在警局坦承行竊，但強調只是貪圖方便，還說上班未滿一個月，薪水還沒發下來，很擔心因為這樣又丟工作，不斷哀求警方「以後不敢了」、「拜託請幫幫我」，警訊後被依竊盜罪送辦。(中時即時)出版編輯：丁世傑,3,2015/10/30 00:00,1852,http://www.chinatimes.com/realtimenews/20151030006144-260402,1,ltn00003,台荷混血兒 自稱坎坷偷機車
3,中正區,國內最權威、規模最盛大的企業、建築獎項「第17屆國家建築金質獎暨第12屆國家品牌玉山獎」頒獎典禮於28日晚上7時在公務人力發展中心二樓卓越堂盛大舉行，為每年全國營建、企業矚目的焦點，典禮當天吸引全國共700多位產、官、學界精英代表齊聚一堂，共同見證這歷史性的時刻。頒獎典禮莊嚴隆重，中華民國國家企業競爭力發展協會更邀請副總統吳敦義、監察院張博雅院長、行政院許俊逸政務委員（兼公共工程委員會主委）、經濟部卓士昭政務次長、國發會黃萬翔副主委、營建署王榮進副署長親臨致詞頒獎，並代表政府給建築營建及企業最大的支持與鼓勵。吳副總統親臨頒獎致詞表示，國家品牌玉山獎就是鼓勵企業增加服務的質與量、深度與廣度，與政府一起努力推動經濟發展，引領產業升級，並在技術、專利上繼續努力創新研發，透過台灣卓越的品牌價值，讓台灣產品推廣到世界各地。他特別肯定主辦單位用心舉辦國家建築金質獎及國家品牌玉山獎表揚活動。本次共選出43件國家建築金質獎及77件國家品牌玉山獎得獎作品，獲獎如遠雄建設、頂高建設、亞昕國際開發、璞園開發等皆為極具優良信譽之企業，也包含知名三大聯合建築的金門風獅爺商店街，名建築師劉演交的「國賓A區」，豪璟建設與台灣松下營造的「中正藏璽」，品牌玉山獎獲獎知名企業如富邦人壽保險、和運租車、台灣國際造船、國泰綜合證券等，「國家建築金質獎」網站：www.yestaiwan.com.tw。(工商時報),4,2015/10/30 00:00,66,http://www.chinatimes.com/newspapers/20151030001349-260208,1,ltn00004,建築金質獎、品牌玉山獎 揭曉
4,中正區,基隆貨櫃車違規偷跑中正高架橋，警方取締防不勝防！自去年5月底開始，除東、西岸碼頭尖轉運車輛於特地時間准予通行外，其餘時間則禁止大貨車、聯結車通行，但不少業者仍鑽漏洞「偷跑」，使得基隆市道路交通以及高架橋結構負荷汲汲可危。去年禁令開始時，警方在中正路、東海街口頻頻攔檢違規行駛市區道路的貨櫃車，統統開單勸導，要求出港區的貨櫃車一律行駛台62甲線東岸聯外道路；而1年多過去，警方目前鮮少進行取締，也讓司機們開始又有了僥倖心態。昨天基隆市市務會議中，指出目前又有不肖業者開始不遵守規定，偷偷行駛中正高架橋，避免繞行市外一圈進入港區。不過為因應部分東西岸碼頭間轉運車輛，行駛東岸、西岸聯外道路路程太遠，去年道安會報同意開放部分時段，包括上午9點至下午4點，晚上7點至10點，開放轉運貨櫃車通行中正路、中正高架橋，但如今許多業者為省油料，而警方也未積極取締，造成中正路和中正高架橋貨櫃車充斥。(中國時報),5,2015/10/28 00:00,223,http://www.chinatimes.com/newspapers/20151028000581-260107,1,ltn00005,基隆中正高架橋 貨櫃車又偷跑
5,中正區,不動產市場颳寒風，10月不動產處分大賽最後一棒，國產署第5批11宗國有地設定地上權招標昨(25)日開標，僅吸引兩封標單，反應冷清，而根據國產署統計，今年前4批共35宗國有地設定地上權標售，計算標脫率僅37%，昨日開標共有2宗脫標，脫標率再降至32%，脫標土地計台北市、台東縣各1宗，2宗標脫土地各一封標單，有投就得標。10月標售熱鬧上膛，卻多以流標收場，反應房市不景氣、大環境不利，建商、投資人出手意願不高。台北市標脫土地位於中正區汀洲路三段，近公館商圈、南華高中，步行可達台大校園，生活機能完善，且因師大商圈受政策限制後，人潮逐漸回流公館商圈，區域發展前景佳，標前就被看好脫標機率高，吸引1封標單投標，以權利金2.67億元標脫，溢價率約6%，得標者為金富鴻國際貿易興業股份有限公司，換算每容積坪單價約51.3萬，推估是看好公館商圈發展的潛在商業利益而出手標下。另一脫標國有地是位於台東縣台東市的乙工土地，由本上企業有限公司以金約850萬得標，溢價率0.3%，推估因事業需求而投標。而台北市中正區另1宗國有地，位置接近捷運東門站與東門市場，距離中正紀念堂也不遠，今年四月國產署以近1.63億底價招標未果，本次底價約打九折招標，仍以流標收場，分析是因該宗土地面積僅近百坪，開發規模有限，區域行情不利地上權住宅案，市場反應平平，降價策略未能奏效。新北市板橋區、桃園市桃園區、台中東勢及北屯區、高雄鳳山及左營區等共8宗土地也全以流標收場。信義全球資產經理王維宏指出，自去年以來地上權整體標脫率節節下滑，今年建商標地意願更低，總體脫標率再下降是反映整體環境，近來各項標售市場反應偏冷淡，唯有價格佳、地段優越的精華物件標脫，驗證價格合理、地點好的標的才是市場王道，近來標售市場遭冰封，國產署得拿出精華中的精華，並且合理降價才可能提高脫標率。(時報資訊),6,2015/10/27 00:00,857,http://www.chinatimes.com/realtimenews/20151027001838-260410,1,ltn00006,《傳產》國產署設定地上權招標冷清，僅2宗脫標
6,中正區,涉嫌於昨日持槍闖入兆豐銀行台北衡陽分行搶劫未遂的的搶匪，警方查出是住新北市三重區的林姓男子，他在警方全面追緝下，自知難逃法網，今晚約9時許，透過親友向北市少年警察隊投案，案發轄區中正一分局已派員前往押人偵辦中。35歲的林嫌有多次竊盜前科，目前無業，昨天下午2時30分許，持槍前往兆豐銀行台北衡陽分行搶劫，因遭遇保全員奮勇抵抗，在打傷保全員後，未繼續行搶即落荒而逃，旋即搭計程車逃往萬華區下車逃逸。案發後，中正一分局迅速追查出搶嫌身分，是住在新北市三重區的林姓男子，並漏夜向檢察官聲請拘票埋伏逮人，但林嫌並未返家，惟他自知已遭警方鎖定，因此於今夜透過親友向少年隊投案。由於林嫌並未攜帶作案槍枝投案，警方已漏夜押他前往三重地區找尋槍枝及犯案時的穿著衣物等證據。初步查知，林嫌因缺錢才犯案，警方將待槍枝等證物起獲後，全力偵辦並追查有無另涉他案。(中時即時)出版編輯：丁世傑,7,2015/10/27 00:00,15561,http://www.chinatimes.com/realtimenews/20151027005003-260402,1,ltn00007,兆豐銀行搶案 搶嫌晚間投案
7,中正區,慶祝台灣光復70周年，台灣省城隍廟25日在台北市中正區、萬華區遶境，超過2500名信眾和陣頭，沿街鑼鼓喧天、熱鬧非凡。西門町不少陸客，難得在台北市區看到神轎與陣頭，皆好奇拍照留念。10月25日是台灣光復節，也是台灣省城隍廟歲次乙未年聖誕慶典，特別舉辦「全國迎城隍在總統府博愛特區」活動。昨天遶境活動最後一天，隊伍由總統府旁廣場出發，進入西門町，經中華路、北門、忠孝西路、漢口街、重慶南路回廟。信眾及陣頭估計至少2500人。沿途經過商業區雖然昨天台北市天氣陰，但遶境所經之處俱是商業區，假日人潮加上文武陣頭熱鬧穿梭，原本就川流不息的商圈變得更加繁忙，沿街民眾設香案祭拜，更多人在神轎經過時雙手合什，向城隍爺默禱，為心中的親友祈福。在重慶南路到西門町一帶，除了在地民眾沿街祈福，還有來自大陸的自由行旅客，頻頻用手機拍照，甚至搶站到遊行隊伍中，請隨行的友人幫忙拍照，體會特有的台灣宗教氣氛。日據時代曾被毀「大陸也有這個，但台灣的好像特別熱鬧。」來自上海的張姓大學生說，大陸近年來宗教活動漸多，但她發現台灣民眾對宗教活動的參與特別虔誠，從大家到廟裡參拜的情況就看得出來，「這是中華文化的特色，一定要好好保留下來。」台灣省城隍廟最早是台北府城隍廟，建在台北撫台街，建築物毀於日據時代，神明移到松山區另行建廟；到1945年台灣光復，地方仕紳倡議重建，才在現址武昌街興建城隍廟。因當時台北市為台灣省省會，於是信徒自立為省級城隍，依神格與都城隍、府城隍同級，神明均稱威靈公，屬台灣三大城隍廟。小 靈 通城隍城隍的城原先是指城牆、隍是護城河，後引申為護城官，可溯自周朝，但周朝祭城隍只建土壇，無神像。城隍後被道教吸收為神祗，又綜合儒家思想，到明朝朱元璋分封天下城隍，定出都、府、州、縣不同級別。各地城隍是對當地有貢獻的人士，有人名，司本地的陰間人事。陽間的縣令到任，慣例要先到城隍廟參拜。台灣建省前屬福建管轄，故台灣最早的城隍是從福建分靈而來。（洪肇君）(旺報),8,2015/10/26 00:00,935,http://www.chinatimes.com/newspapers/20151026000779-260301,2,ltn00008,台省城隍廟遶境 陸客搶拍照
8,中正區,近年全球興起文創產業，許多藝術作品展示、活動帶動地方經濟發展，也使得各級政府相當重視文化創意產業的推動與發展。2年前，霍夫曼的黃色小鴨造成全球觀光風潮，即是相當成功的個案。事實上，文創業發展有賴中介經紀機構策畫與推動，由文化部主辦，商發院執行的「文創中介經紀國際論壇：產業邁向國際的推手」即將在10月28日一連兩天在台北舉行，讓國內文創業可更精準行銷。「文創中介經紀國際論壇」邀請韓國工藝文化設計振興院海外展覽及國際交流組負責人徐允卿與韓國螺鈿漆器博物館總監孫惠園來台分享他們將韓國文創產業國際化的策略與方法。同時也邀請小黃鴨創作家霍夫曼經紀人蔚龍藝術總經理王玉齡分享如何帶動小黃鴨的風潮。會議地點在集思交通部國際會議中心3樓（台北市中正區杭州南路一段24號），歡迎有興趣者可透過線上報名網址：http://goo.gl/forms/AZ5K4UzQQ7進行報名，或洽論壇諮詢專線（02）77074891張小姐；（02）77074889羅小姐。(工商時報),9,2015/10/26 00:00,137,http://www.chinatimes.com/newspapers/20151026000157-260208,2,ltn00009,文創中介經紀論壇 28日登場
9,中正區,中美在南海的爭端日漸激烈，雙方喊話不斷，是否真會擦槍走火，備受關注。作為南海主權申述國之一的我國，看來已無法置身事外，必須盡早拿出對策以維護國家利益。最近新加坡智庫對南海議題的研討有不少觀點值得參考。首先，近日傳出美國軍機可能會飛越中共所造人工島礁，美國軍艦也會進入島礁12海哩之內，這對中國看來是屬於挑戰的行為，但關鍵是美國此行為啟動的時機。如果南海一貫的航行自由或無害通過，並未因中共人工島礁的興建而改變，而中共亦不會對此作任何改變以致危害到自己航行的利益，則美國的挑戰行為就需三思，以避免成為破壞南海航行自由的始作俑者。又美中的擦槍走火只有在對等的機艦對峙下才可能發生，中共的漁政、海監、漁船等都不足以和美艦匹敵。對等機艦的對峙，應力求避免。其次，中共可能宣布南海局部為空防識別區。但因南海面積太大，爭議又太複雜，所以宣布全面實施的可能性不大，三亞軍港及東沙群島局部一帶可能先宣布。第三，美國新圍堵政策已漸形成，如今一條北自南韓、日本，南到菲律賓，甚至越南的防線，明顯又築了起來，經濟上的作為則有TPP的設計，目的都是對抗中共的強大崛起。日本修改美日安保條約，日菲海軍頻頻聯合演習，均可見端倪。作為此防線中間點的台灣，美國是不許有缺口出現的。緣此美國將提升與我方的軍事合作，但同時，對美國的南海問題政策，我們有不太能違背其意的壓力。南海問題的下一步發展將對我形成選邊站的壓力，也就是在固有的美台關係及緩和許多的兩岸關係之間作抉擇，這將是重大而嚴肅的議題。我政府多次聲明在南海問題上不與中共合作及積極願意作為和平締造者，如馬總統的南海和平倡議，都是睿智的決策。但如果要做萬全準備，當選邊壓力已無法避免時，我們宜想到誰才是我們歷史上忠誠的老友。（作者為退休大使、新加坡南洋理工大學訪問學人）(中國時報),10,2015/10/26 00:00,6686,http://www.chinatimes.com/newspapers/20151026000393-260109,2,ltn00010,名家觀點－南海問題下一步
