_id,area,content,count,date,link,page,pk,title
0,中正區,〔記者蘇芳禾／台北報導〕全亞洲規模最大的同志遊行今天將在台北街頭盛大登場，預計將有來自全世界各地的民眾參與。民進黨總統參選人蔡英文今天上午也在臉書上宣示，「我支持婚姻平權」。長期推動性別運動的綠黨社民黨聯盟立委參選人呂欣潔，明天也將在台北街頭，舉辦首度公開同志辦桌婚禮。台北市長柯文哲日前也贈以「新人新氣象」的中堂給予祝福。綠黨社會民主黨聯盟所提名的立委參選人中有5位出櫃同志，除了參選台北市信義南松山區的呂欣潔之外，還有新北市新莊區立委參選人賈伯楷；台北市文山、南中正區的苗博雅、台南市第四選區立委參選人楊智達，及政黨不分區立委參選人許秀雯。呂欣潔表示，同志朋友的婚姻權益長期被忽視，即使擁有全世界的祝福，舉辦公開儀式，仍然是法律上的陌生人。之所以要舉辦公開婚禮，就是希望可以讓更多人瞭解，同志並不可怕，同時，更希望透過親友聚集的機會，傳遞自己決心參與政治的理念。被問到柯文哲贈以「新人新氣象」的中堂有什麼感覺？呂欣潔笑著說，之前和市長聊過，覺得他是真性情，雖然對於跑紅白帖的行程不耐，但很樂意支持各種新政治活動，「新人新氣象」形容得很貼切，呂欣潔相信，「和過去的政治人物不一樣」是市長的期許，也是選民所渴望見到的，而她必定會努力實踐。台北市長柯文哲贈以「新人新氣象」的中堂給予祝福。（呂欣潔提供）呂欣潔（右）的同性伴侶陳凌是一名獸醫師。（取自呂欣潔臉書）,1,2015-10-31  13:54,http://news.ltn.com.tw/news/society/breakingnews/1493284,1,ltn00001,呂欣潔明與同性伴侶結婚 柯P贈中堂祝福
1,中正區,〔記者蘇芳禾／台北報導〕第13屆臺灣同志遊行，以「年齡不設限-解放暗櫃，青春自主」為主題登場。面對婚姻平權多年來的訴求，首次於立委選舉中，推出同志不分區候選人的綠黨社會民主黨聯盟，會同其立委候選人，以及百餘位支持者共同參與遊行。綠社盟指出，進入立法院後將組成「跨黨派婚姻平權推動聯盟」，全力推動婚姻平權。綠社盟指出，婚姻平權法案一讀至今被冷凍在委員會中，除民進黨立委尤美女排過兩場公聽會，審查法案時人數不足導致流會外，朝野政黨立法怠惰令人遺憾，法務部也遲遲不肯提出對案修法。第八屆立委任期即將結束，按照屆期不連續原則，明年新組成的立法院，婚姻平權法案也將全部歸零重來。綠社盟質疑，台灣的中央政府比起地方政府更加保守。目前已有高雄市、台北市、台中市開放同志伴侶註記，雖然礙於法令，註記並無實際法律效力，代表地方政府已經逐漸接受同志議題、理解同志伴侶關係。綠社盟13位區域與不分區立委候選人共同參與遊行，其中台北市信義南松山區呂欣潔，台北市文山南中正區苗博雅，新北市新莊區賈伯楷，台南市東區、南區及安平區楊智達，全國不分區許秀雯，皆為同志候選人，其他所推的候選人也完全認同婚姻平權的政見，綠社盟更是首次推出同志不分區候選人的政黨。綠社盟強調，推動婚姻平權法案的立場絕不改變，進入立法院後將組成「跨黨派婚姻平權推動聯盟」，全力推動婚姻平權。且若當選超過三位立委，組成黨團後，也將於協商中全力促使兩大黨同意法案。綠社盟呼籲所有關心婚姻平權的朋友，投同志人權一票，支持綠社盟所推出的區域候選人，並將政黨票投「綠黨社會民主黨聯盟」。,2,2015-10-31  11:25,http://news.ltn.com.tw/news/politics/breakingnews/1493134,1,ltn00002,參與同志遊行  綠社盟承諾組跨黨派聯盟推平權
2,中正區,〔記者林欣漢／基隆報導〕基隆市廿一所高中職及國中、小學校周邊人行道，前天起已公告為全面禁菸場所，從十二月起，只要在禁菸線區域內抽菸被查獲，將被處以二千元到一萬元罰鍰，衛生局呼籲民眾不要以身試法，讓老師、家長、學童遠離菸害。林姓家長說，對這項措施樂觀其成，但現在還是有很多人無視禁菸線在校門口吸菸，亂丟菸蒂，建議校方和衛生局人員應不定時前往稽查勸導，才會有遏阻效果。衛生局企劃科長莊慧文指出，根據菸害防制法第十六條第一項第四款的規定，繼二十七日中興國小、二十八日中正國小劃設禁菸線後，全市已有廿一所學校的校門口及周邊人行道公告為禁菸場所，以保障校園師生、家長及一般民眾不吸二手菸的健康權益。中正區衛生所主任張文龍表示，菸害防制法雖已規範校園內禁止吸菸，但未將學校周邊人行道也納入規範，上、下學時間有些接送學生的家長會在等待時不經意抽菸，導致其他人遭受二手菸害，也對孩子產生不良示範。中興國小校長邱和德也說，校園周邊人行道常有民眾吸菸，菸煙會飄進校園及教室，校方雖曾進行柔性勸導，但因不具法律約束效力，故成效有限，現在有紫線標示禁菸範圍，盼大家一起支持響應，打造校園無菸環境。廿一所學校分別是：基隆高中、基隆海事、安樂高中、光隆家商、中山高中；國中部分有中正、百福、碇內、銘傳、建德、成功；國小有七堵、成功、中和、中正、長興、碇內、南榮、德和、長樂、中興等。,3,2015-10-30,http://news.ltn.com.tw/news/local/paper/928054,1,ltn00003,〈北部〉21校周邊人行道禁菸 12月起取締
3,中正區,〔記者郭安家／台北報導〕台北市長柯文哲日前說不打房，引發社會議論。根據地政局最新出爐數據，今年5月是柯上任以來住宅價格指數最高峰，但7月已呈現連續2個月下滑、較上個月跌0.61％，而房市交易量也呈現3個月下跌、較上個月減4.96％，至於總交易金額也比上個月減少42.06億元、減幅約16.66％。7月份房市呈現「雙跌」，地政局表示，市場觀望氣氛濃厚，交易動能持續低迷。今年1月全市交易量783件，2月農曆春節減至558件，3、4月衝破千件，但5月起連續3個月下跌，7月北市交易量共900件。7月交易件數仍以交易熱區中山區132件居冠，但交易件數也比上個月少30件，地政局指出這顯示交易降溫；而交易減幅最大則是中正區，由67件減為46件。地政局表示，7月份住宅需求也呈現「高價市場衰退明顯、老屋夯新屋淡現象」，每坪單價100萬元以上案件，已連續4個月占比減少，總價7000萬元案件則連續2個月減少，顯示高價市場衰退明顯。反觀31年以上中古屋交易363件最多、占43.01％，也創今年以來新高；5年內新成屋交易量下滑至124件、較上個月減少5.04％。至於住宅價格指數，7月份為115.83％，較上個月下跌0.61％，已連續2個月微幅下跌，也較去年同期下跌2.7％。住宅價格指數趨線，2月春節期間下滑，隨後上升至5月，6、7月呈現連續下滑。台北市長柯文哲日前說不打房，引發社會議論。根據地政局最新出爐數據，今年5月是柯上任以來住宅價格指數最高峰，但7月已呈現連續2個月下滑、較上個月跌0.61％，而房市交易量也呈現3個月下跌。（資料照，者廖振輝攝）,4,2015-10-29  16:12,http://news.ltn.com.tw/news/politics/breakingnews/1491191,1,ltn00004,柯p不打房背後  7月住宅價格指數、交易量雙跌
4,中正區,〔記者蘇芳禾／台北報導〕民進黨上週中常會原擬討論「禮讓台北市議員李慶元、徵召醫師潘建志」提案，因基層反彈聲浪過大而擱置未處理。民進黨選對會昨針對台北市第三選區（中山、北松山）立委提名，通過民進黨台北市議員梁文傑退選案，但也不徵召獨立參選人潘建志。民進黨選對會召集人蘇嘉全受訪表示，民進黨希望在十一月完成全國各區與第三勢力的整合及協調。至於台北市文山、中正區，中常會昨也「不予提名」，未提及是否禮讓或支持李慶元。選對會同意梁文傑退選後，蘇嘉全表示，將尋求進一步協調其他兩位在野參選人潘建志、李晏榕整合的可能性，希望該選區能整合出一位候選人。梁文傑曾建議黨內禮讓社民黨參選人李晏榕，不過，針對整合議題，社民黨秘書長葉虹靈表示，社民黨不會參與整合，會有自己的步調。選對會人士表示，台北市其他五個選區（大安區、文山中正區、中正萬華區、松山信義區、內湖南港區）維持原來「不予提名」的決定；在松山信義區，民進黨將會促成在野參選人張承中、呂欣潔等人之整合。至於其他區域立委協調進度，民進黨發言人鄭運鵬表示，淡水區立委參選人呂孫綾與馮光遠，將對於如何進行協調民調做意見整合；新北市永和區因民進黨沒有提名，所以尊重台聯周倪安及無黨李幸長之間的協調；台中市第五選區（北屯、北區）將在十一月初做出整合結論，再進行討論。民進黨選對會昨針對台北市第三選區立委提名，通過梁文傑退選案。（資料照，記者廖振輝攝）,5,2015-10-29,http://news.ltn.com.tw/news/politics/paper/927779,1,ltn00005,北市三選區梁文傑退選 民進黨不徵召
5,中正區,〔記者林欣漢／基隆報導〕基隆大明蝦進入盛產時節，為打開銷路，基隆市中正區特定漁業產銷班第二班即日起推出1公斤（14～17隻）的大明蝦禮盒，原價1200元，推廣價999元，限量500盒。產銷班長廖信德說，每年中秋節後到農曆年節間是基隆大明蝦的盛產季，以前都是賣給大盤商，作為逢年過節送禮用，為推廣在地漁產讓更多消費者知道，特別設計適合小家庭食用的小包裝，市場反應不錯。基隆市政府產業發展處漁業行政科長何惠玫說，基隆大明蝦捕撈區域主要在彭佳嶼周邊，產量佔全國7成以上，大明蝦品質好又新鮮，川燙、蒜蓉蒸蝦或沙拉都很美味。訂購可電洽：班長廖信德0933-076805。基隆大明蝦進入盛產時節。（記者林欣漢攝）大明蝦有7成來自基隆。（記者林欣漢攝）大明蝦川燙、做沙拉都很美味。（記者林欣漢攝）,6,2015-10-28  17:07,http://news.ltn.com.tw/news/life/breakingnews/1490073,1,ltn00006,基隆大明蝦盛產 產銷班限量下殺促銷
6,中正區,〔記者盧賢秀／基隆報導〕基隆市信義地政事務所昨召開一○五年土地公告現值暨重新規定地價說明會，基隆最貴的地段仍在愛三路廟口周邊，大四美百貨大樓可望蟬聯地王，土地公告現值可能微幅調漲。昨天說明會轄區包括中正、仁愛、信義三個行政區，以信義區市價平均調幅達五％至十％最高，主要原因是田寮河整治水質改善，公園與步道等建設提升環境品質，也使房地產價格上揚；五期重劃區受萬瑞快速道路深澳坑匝道及東岸聯外道路通車影響，地價也上漲。至於中正區以中古屋為主，多集中於新豐街、調和街一帶，生活及居住環境成熟，有部分新建案完工，平均調幅為三％至五％。仁愛區商業發展較早，是以中古屋為主，只有零星買賣成交案例，平均調幅僅一％至二％。公園街和自來街一帶等老舊社區，從九十四年起公告土地現值和地價都負成長，明德里長許文杰認為，中山橋和三十一號橋將陸續改建，要求繼續調降公告土地現值和地價，不過鄰近的新火車站已經完工啟用，地政事務所人員認為宜持平。大四美大樓可望蟬聯地王，公告現值可能微幅調漲。（記者盧賢秀攝）,7,2015-10-28,http://news.ltn.com.tw/news/local/paper/927410,1,ltn00007,〈北部〉大四美百貨 可望蟬聯地王
7,中正區,〔記者吳佳蓉／台北報導〕房市冷颼颼，連帶影響地上權標案也「乏人問津」。財政部國有財產署昨公布今年第5批地上權案標脫情形，11宗中只有2宗標脫，標脫率不到2成，為近4年來最差成績。國產署副署長邊子樹表示，累計今年地上權總標脫金額僅28.7億元，確定無法達成全年30億元的目標。邊子樹說，昨日僅2宗地上權案標脫，分別為台北市中正區福和段二小段及台東縣台東市豐工段，得標價分別為2.6億元及848萬元，分別溢價6.04％及0.31％，由金富鴻國際貿易公司及本上公司得標；總計每年將繳給國庫224萬元地租。推測此次市場反應冷淡主因，邊子樹指出，主要與整體房市市況不佳有關，觀望氣氛濃厚，以及北市大面積精華區案源逐漸減少，誘因不足；近期房地持有稅上升氛圍，多少也衝擊到地上權市場。邊子樹表示，目前正在檢討，是否於年底前將年初二次流標的國泰營區、高雄陸軍服務社、北市「中山設計產業園區」與勞保基金於光華商場旁持有的「希望廣場」等大面積地上權案，釋出招商。房市冷颼颼，連帶影響地上權標案也「乏人問津」。（資料照）,8,2015-10-27,http://news.ltn.com.tw/news/business/paper/927224,1,ltn00008,地上權標脫率不到2成 近4年最差
8,中正區,位於台北市中正區衡陽路91號的兆豐銀行，發生銀行搶案，搶匪持槍身影曝光。（記者劉慶侯翻攝）〔記者姜翔、姚岳宏、劉慶侯／台北報導〕位於台北市中正區衡陽路91號的兆豐銀行，今天下午2時28分，有1名搶匪欲搶劫，但被警衛攔阻，歹徒持假槍敲擊警衛頭部後，未得手即逃逸，警衛傷勢目前由救護車處置，全案現由警方查緝歹徒身份中。據了解，該名歹徒戴口罩，身穿咖啡色上衣走進銀行時高喊「搶劫」，在銀行內擔任保全的30歲廖姓男子見狀，立即上前與歹徒扭打。當時這名戴口罩的搶匪第一次闖進銀行時，只高喊「不要動，搶劫」，疑似忘記「帶傢伙」，竟然又退出去，隔了約10秒，拿了把黑色槍枝又衝進來，這次還來不及說話，就與警衛扭打在一起，後來趁隙脫逃。衝突過程中，搶匪用槍托敲傷廖男的頭部，2人扭打後，搶匪隨即倉皇逃逸。警消到場後，廖男傷勢輕微，拒絕送醫。警方根據監視器及目擊者描述，犯嫌中等身材，戴著鴨舌帽與口罩，已鎖定車號積極追緝中。相關影音圖為受傷廖姓保全。（記者姜翔攝）位於台北市中正區衡陽路91號的兆豐銀行，今日下午2時28分，發生銀行搶案。（記者劉慶侯攝）位於台北市中正區衡陽路91號的兆豐銀行，今日下午2時28分，發生銀行搶案。（記者劉慶侯攝）,9,2015-10-26  16:15,http://news.ltn.com.tw/news/society/breakingnews/1487705,1,ltn00009,獨家》兆豐銀行搶匪身影曝光 警方追緝中
9,中正區,〔記者劉慶侯／台北報導〕位在台北市中正區衡陽路91號的兆豐銀行，今日下午2時28分，有1名搶匪欲搶劫，但被警衛攔阻，歹徒持假槍敲擊警衛頭部後，未得手即逃逸，警衛傷勢目前由救護車處置。全案現由警方查緝歹徒身份中。,10,2015-10-26  15:00,http://news.ltn.com.tw/news/society/breakingnews/1487634,1,ltn00010,持假槍搶兆豐銀未遂  歹徒傷警衛逃逸
