,area,count,link,page,pk
0,中正區,1,http://www.appledaily.com.tw/realtimenews/article/politics/20151031/722890/applesearch/挺同志遊行　綠社盟：當選立委後推婚姻平權,1,apl00001
1,中正區,2,http://www.appledaily.com.tw/realtimenews/article/property/20151027/720171/applesearch/雙層店面夯　北市價格年漲近2成,1,apl00002
2,中正區,3,http://www.appledaily.com.tw/realtimenews/article/life/20151027/719980/applesearch/北市今增1例本土登革熱　患者曾到過台南,1,apl00003
3,中正區,4,http://www.appledaily.com.tw/appledaily/article/headline/20151027/36864456/applesearch/博愛特區搶銀行匪持槍打傷保全,1,apl00004
4,中正區,5,http://www.appledaily.com.tw/appledaily/article/property/20151027/36864110/applesearch/國有地上權標售冷僅2筆標出,1,apl00005
5,中正區,6,http://www.appledaily.com.tw/realtimenews/article/local/20151026/719209/applesearch/博愛特區銀行搶案　歹徒所搭計程車現蹤,1,apl00006
6,中正區,7,http://www.appledaily.com.tw/realtimenews/article/property/20151026/719322/applesearch/溢價6　北市逾200坪地上權地標出,1,apl00007
7,中正區,8,http://www.appledaily.com.tw/realtimenews/article/local/20151025/718538/applesearch/不給超車還亮槍　男子恐嚇遭判刑2月,1,apl00008
8,中正區,9,http://www.appledaily.com.tw/realtimenews/article/forum/20151022/717209/applesearch/【公庫】為起訴而起訴？反課綱學生被起訴聲援,1,apl00009
9,中正區,10,http://www.appledaily.com.tw/realtimenews/article/politics/20151022/716986/applesearch/【公督盟】監督職人教你選出好立委讓你四年不後悔!,1,apl00010
10,中正區,11,http://www.appledaily.com.tw/realtimenews/article/property/20151021/716264/applesearch/北市蛋黃破了　大安、信義跌至8字頭,2,apl00011
11,中正區,12,http://www.appledaily.com.tw/realtimenews/article/property/20151021/716099/applesearch/香港人夯什麼？,2,apl00012
12,中正區,13,http://www.appledaily.com.tw/realtimenews/article/property/20151020/715240/applesearch/都更助漲？　南機場公辦宅不見收購潮,2,apl00013
13,中正區,14,http://www.appledaily.com.tw/realtimenews/article/finance/20151019/714767/applesearch/滙豐新型態分行　營業至下午5時,2,apl00014
14,中正區,15,http://www.appledaily.com.tw/realtimenews/article/life/20151018/713748/applesearch/台北市性侵熱點公布　這些地方「很恐怖」,2,apl00015
15,中正區,16,http://www.appledaily.com.tw/appledaily/article/headline/20151018/36846849/applesearch/柯要揭性侵熱點民叫好,2,apl00016
16,中正區,17,http://www.appledaily.com.tw/appledaily/article/property/20151016/36842669/applesearch/萬華中華路一段首排大樓每坪6字頭起,2,apl00017
