,area,content,count,date,like,link,page,pk,title
0,中正區,雙層店面好運用，價格水漲船高，房仲統計近1年雙北店面交易實價，台北市1樓店面年減0.6%、新北年減2.6%，但若連同2樓一起出售「雙層店面」，北市今年1+2樓店面單價年增近2成、新北1+2樓店面單價也有2.6%漲幅。  據優美地產企研室統計，今年與去年店面交易行情，發現北市1樓店面每坪114.4萬元，但1+2樓雙層出售的店面價格，從去年平均每坪116萬元，漲至今年138萬元，年漲19%；新北1樓店面每坪59.5萬元，若1+2樓雙層出售，則從去年每坪61.1萬元漲至今年62.7萬元，年漲2.6%。  優美地產企研室召集人葉立敏表示，房產價量齊跌，店面因有報酬率支撐，仍吃香；但1樓房價與租金行情置頂，漲幅空間有限，且釋出量少，今年反倒以「雙層」中、小坪數店面產品為主流，鎖定區域型承租方，能夠「穩定收租、減少空置期」為投資方向，若分層出租則可創造更高投報效益，在房價逆勢中不跌反漲。 實價登錄顯示，今年成交最高單價、也最高總價的1+2樓雙層店面，為台北市中正區懷寧街24號的「八方雲集」鍋貼店，總價9500萬元，單價296.1萬元，兩層樓共32.1坪。 葉立敏分析，該店面位在台北車站補習街商圈，有補習街學生人潮和上班族客群，區域客層穩定，吸引連鎖品牌的承租方進駐，也較能長久經營，投報續航力較佳，因而創下今年1+2樓店面新高行情。（于靜芳／台北報導）「蘋果掀房事」每周三中午12點半，午餐加好料～更多房地產新聞，請參考蘋果地產王粉絲團,1,2015/10/27/,,http://www.appledaily.com.tw/realtimenews/article/property/20151027/720171/applesearch/雙層店面夯　北市價格年漲近2成,1,apl00001,雙層店面夯　北市價格年漲近2成
1,中正區,台北市衛生局今公布新增1例本土登革熱個案。新增本土個案一名為中正區26歲男子，本月16日至18日曾回台南老家，本周四出現發燒，檢驗出登革熱陽性，初步排除感染地為台北市。今年截至今日上午9時，累計確診62例本土登革熱個案及53例境外移入個案。台北市衛生局疾病管制處長陳少卿表示，衛生局已啟動登革熱緊急防治措施，分別針對本土及境外移入個案居住地及病毒血症期停留大於兩小時的活動地周邊半徑100範圍，進行病媒蚊密度調查及清除孳生源，並持續監測個案及接觸者狀況；環保局將進行環境消毒，區公所亦將啟動社區清潔日，號召社區民眾共同清除孳生源。（沈能元／台北報導）</iframe,2,2015/10/27/,,http://www.appledaily.com.tw/realtimenews/article/life/20151027/719980/applesearch/北市今增1例本土登革熱　患者曾到過台南,1,apl00002,北市今增1例本土登革熱　患者曾到過台南
2,中正區,,3,2015/10/27/,,http://www.appledaily.com.tw/appledaily/article/headline/20151027/36864456/applesearch/博愛特區搶銀行匪持槍打傷保全,1,apl00003,博愛特區搶銀行 匪持槍打傷保全
3,中正區,,4,2015/10/27/,,http://www.appledaily.com.tw/appledaily/article/property/20151027/36864110/applesearch/國有地上權標售冷僅2筆標出,1,apl00004,國有地上權標售冷 僅2筆標出
4,中正區,（更新：新增嫌搶匪所乘計程車、逃逸路線）博愛特區驚傳銀行搶案！今天下午2時許，一名男子跑到台北市中正區衡陽路兆豐銀行，揚言行搶並持槍攻擊銀行保全員頭部，大廳留下斑斑血跡，但搶匪並未得手即逃逸，警方已封鎖現場採證緝凶。轄區中正一分局接獲報案，立即派員到場調查採證，警方初步調查，涉嫌搶銀行的嫌犯約中等身材，戴著帽子遮掩面容，上身穿著紅色上衣，犯案後往中華路方向逃逸。受傷的廖姓保全員（30多歲）表示，男性歹徒中等身材，戴著鴨舌帽、口罩，穿著紅底白條紋上衣，藍色牛仔褲。空手走進兆豐銀行後，在廖姓保全員旁邊大喊「我要搶劫」，隨後立即往外跑。突然歹徒再次手持疑似玩具槍走進銀行，廖姓保全員懷疑嫌犯所持應是玩具槍，欲上前將他制伏時，右腦勺遭歹徒狠敲一下後逃逸。歹徒跑出銀行後，穿過衡陽路往延平南路後，再搭計程車往萬華區方向，最後在西藏路一帶下車。警方迅速找到歹徒所乘車輛後，在車門上採集多枚可疑指紋，警方已擴大追緝中。（突發中心陳建緯、孔德廉、余思維／台北報導）出版時間：14：50更新時間：19：24,5,2015/10/26/,,http://www.appledaily.com.tw/realtimenews/article/local/20151026/719209/applesearch/博愛特區銀行搶案　歹徒所搭計程車現蹤,1,apl00005,博愛特區銀行搶案　歹徒所搭計程車現蹤
5,中正區,國產署今北中南同步進行地上權土地招標，13筆僅標出2筆。 這次招標面積共38162.72平方公尺，約11544.22坪，總權利金共23億8600萬2258元，北市僅有兩筆中正區地土地釋出，皆為住三用地。 其中，汀州路三段的土地，權利金底價2億5147萬9386元，由金富鴻國際貿易興業有限公司得標，得標權利金2億6666萬6666元，溢價率約6%。 住商不動產台北師大加盟店店長游聖獻表示，可分戶移轉較具優勢，至少貸款較容易，台北市要有200多坪的基地已經不容易了，不過，目前北市地上權住宅案都賣得比較辛苦。（鄭婷方／台北報導） 「蘋果掀房事」每周三中午12點半，午餐加好料～ 更多房市快訊請看蘋果地產王粉絲團,6,2015/10/26/,,http://www.appledaily.com.tw/realtimenews/article/property/20151026/719322/applesearch/溢價6　北市逾200坪地上權地標出,1,apl00006,溢價6%　北市逾200坪地上權地標出
6,中正區,亮槍恐嚇被判刑2月！基隆市33歲陳姓男子，開車行經中正區新豐街，因不滿後方車輛跟車太近，似乎想要超車，引起陳男不滿，趁著雙方停車時，陳男搖下車窗亮出1把空氣槍，指著想要超車的黃姓駕駛，大聲喝斥「你是在逼（車）啥小！」，黃男嚇一大跳，趕緊道歉解釋「因為家人病危，要趕著到醫院！」陳男聞言才放過黃男，自行開車離去。被人拿槍恐嚇的黃男，因為心裡害怕、恐懼，等到陳男離去後隨即報警，警方隔天根據車號找到亮槍的陳姓男子，並在車內查扣空氣槍，雖然該把空氣槍經過檢驗並無殺傷力，但是警方認為陳男涉及恐嚇危害安全罪嫌，因此偵訊後仍將他依法送辦，經過法院審理，判決陳男有期徒刑2個月，或6萬元罰款。(突發中心蔡進男／基隆報導),7,2015/10/25/,,http://www.appledaily.com.tw/realtimenews/article/local/20151025/718538/applesearch/不給超車還亮槍　男子恐嚇遭判刑2月,1,apl00007,不給超車還亮槍　男子恐嚇遭判刑2月
7,中正區,本內容由公庫提供文／法律扶助基金會時間：105/10/23（五）早上09：00地點：台北地方法院檢察署前（中正區博愛路131號）出席人員：被起訴學生彭宬、閻孝和及其他反課綱學生、馮喬蘭執行長（人本基金會）、顧立雄律師....(閱讀全文),8,2015/10/22/,,http://www.appledaily.com.tw/realtimenews/article/forum/20151022/717209/applesearch/【公庫】為起訴而起訴？反課綱學生被起訴聲援,1,apl00008,【公庫】為起訴而起訴？反課綱學生被起訴聲援
8,中正區,本內容由公民監督國會聯盟提供第九屆立法委員選舉，除了傳統國、民兩大黨，更有許多小黨紛紛投入參選，角逐立委席次!在這麼多候選人中，究竟要投給誰，才能讓你選後不後悔呢? 在過去只有在選舉期間，才知道立法委員究竟做了些甚麼，立委參選人透過跟握緊每一雙手，來拉攏你手上的一票，但他提出政見是否有真正落實呢?其實，若你想要知道立委表現是否稱職、善盡職責做好預算審查與修法審查工作，不僅可以下載「國會online 2」APP，那更不能錯過本次公督盟與社區大學合作的公民週免費講座，這次將分別在中正、松山、文山社區大學舉辦。歡迎想要更了解、關心國家未來公民們一起與會，讓監督職人告訴你選好立委的小撇步! 公督盟執行長張宏林表示：公督盟推行國會監督講座多年，2015年截至目前為止已完成近30場(約1200人次參與)。去年公督盟更以「監督國會與公民評鑑課程」通過「社會教育機構或法人申請辦理高級中等以下學校及幼兒(稚)園教師進修認可」，將能夠在全國教師在職進修網登錄。歡迎各級學校、機關團體只要對國會監督議題有興趣了解，都能向公督盟提出演講申請。（本講座屬公益推廣性質，惟大台北以外地區能提供交通費補助。） 立法院是政治運作的核心，所有的法案、中央政府所有的預算案皆須立法院通過才生效。從預算審查的面向來看，中央政府總預算一年約2兆，每名委員身上平均肩負了約170億的預算審查權；本次會期是預算會期，正好與立委選舉時間重疊，現在已經有許多立委諸公把跑地方選舉行程做為第一要務，將大大減損審議預算的效率，無法將我們的納稅錢做好把關！今日的台灣，能否會成為明日的希臘，將決定在這些立委們手中，我們手上這一票要投給誰，不得不慎重!本次公督盟在各社大講座時間如下，有興趣的民眾可選擇適合的時間和地點向社區大學報名，當天也歡迎自由入場。公督盟也受理各界演講邀請，歡迎有興趣的朋友可線上下載申請表傳真至公督盟，或致電至公督盟詢問。1.中正社區大學-第一次監督國會就上手 政策部主任洪國鈞 (開南商工，臺北市中正區濟南路一段6號)  11月3日19:00-21:00   詳情請上網或電洽：02-2747 54312.文山社區大學-第一次監督國會就上手 執行長張宏林 (景美國中，台北市文山區景中街27號)　  11月5日19:00-21:00  詳情請上網或電洽：2930-26273.萬華社區大學-「你不可不知的立法院-讓國會職人告訴你」執行長張宏林(龍山國中，臺北市萬華區南寧路46號)  11月6日19:00-21:00 詳情請上網或電洽：請電洽：02-2306-4267 社團法人公民監督國會聯盟巡迴講座計畫想知道立法院議事是如何推動和運作嗎?想知道對於選區立法委員，該如何進行關切與監督嗎?不再對國會亂象失望，一起行動監督國會!想要開啟監督國會的第一步，就先從聽公督盟演講開始!如何邀請公督盟演講：演講申請網址：http://www.ccw.org.tw/node/19904公督盟演講表格下載：http://ppt.cc/pb4t公督盟連絡電話：02-2367-1571公督盟官網公督盟臉書立委資訊隨身帶著走，快下載國會Online2國會online 2〔Android版〕國會online 2〔iOS版〕,9,2015/10/22/,,http://www.appledaily.com.tw/realtimenews/article/politics/20151022/716986/applesearch/【公督盟】監督職人教你選出好立委讓你四年不後悔!,1,apl00009,【公督盟】監督職人教你選出好立委 讓你四年不後悔!
9,中正區,台北市受打房衝擊，蛋黃真的破了！信義房屋統計內部中古屋成交資訊，將今年第3季和去年房價高峰的第2季相比，台北市12個行政區共9區平均房價下跌，跌幅冠軍為「大安區」，電梯大樓去年第2季每坪102.4萬元，今年第3季每坪87.6萬元，房價大跌15%最多！其次，「信義區」也從每坪101.3萬元，下跌至每坪88.1萬元，跌幅約13%，大安、信義兩區跌破百萬元房價水準，回到8字頭。房價下修前3~5名為「中正區」、「松山區」、「士林區」，也價跌8~9%，中正區、松山區皆從8字頭跌到7字頭，而士林區也從近7字頭掉到每坪63.4萬元。目前北市僅萬華區、文山區房價持平。信義房屋不動產企研室專案經理曾敬德表示，市中心蛋黃區因為房價水準最高，加上為政策打擊主要對象，成為房價下跌震央所在，呈現向外擴散趨勢，北市房價全面明顯下跌。以大安區的指標成功國宅為例，景氣高點每坪成交72~75萬元，現成交剩63~65萬元。他說，萬華區與文山區相對低單價、總價，吸引首購族，表現仍優於蛋黃區。大安、信義區每坪皆下修超過10萬元，住商不動產台北遠企加盟店店長吳國源表示，房價最高的大安區，成交量本不多，不景氣下，9月屋主普遍下修1~2成，個案成交下修最高3成，像安和路二段就有大樓每坪開價85萬元，屋主調降至75萬元，最後自住客以68萬元成交，房價回到金融海嘯低迷時期。21世紀不動產信義101加盟店店長常美華也說，信義區9月、10月成交量比去年同期萎縮5成，帶動價格跌1~1.5成，房價較親民的吳興街、莊敬路電梯大樓去年每坪70~80萬元，目前都降至60~70萬元，近信義計劃區豪宅大樓，至少跌2成以上，松勤街「新世界」去年每坪成交可到160萬元，已跌至120萬元。民眾林小姐表示，雖房價下跌，但對於一般民眾，房價仍偏高，估計持續緩跌，想買房不急著出手。（于靜芳／台北報導）「蘋果掀房事」每周三中午12點半，午餐加好料～更多房市快訊請看蘋果地產王粉絲團,10,2015/10/21/,,http://www.appledaily.com.tw/realtimenews/article/property/20151021/716264/applesearch/北市蛋黃破了　大安、信義跌至8字頭,1,apl00010,北市蛋黃破了　大安、信義跌至8字頭
