,,area,count,link,page,pk
0,0,中正區,1,http://www.chinatimes.com/newspapers/20151008000175-260204,6,ltn00001
1,1,中正區,2,http://www.chinatimes.com/realtimenews/20151007005406-260403,6,ltn00002
2,2,中正區,3,http://www.chinatimes.com/realtimenews/20151006005075-260402,6,ltn00003
3,3,中正區,4,http://www.chinatimes.com/newspapers/20151006000329-260208,6,ltn00004
4,4,中正區,5,http://www.chinatimes.com/realtimenews/20151005004374-260409,6,ltn00005
5,5,中正區,6,http://www.chinatimes.com/newspapers/20151006000489-260106,6,ltn00006
6,6,中正區,7,http://www.chinatimes.com/realtimenews/20151005004495-260402,6,ltn00007
7,7,中正區,8,http://www.chinatimes.com/newspapers/20151004000332-260102,6,ltn00008
8,8,中正區,9,http://www.chinatimes.com/newspapers/20151002000395-260102,6,ltn00009
9,9,中正區,10,http://www.chinatimes.com/newspapers/20151002000937-260301,6,ltn00010
10,10,中正區,11,http://www.chinatimes.com/newspapers/20151001000432-260106,6,ltn00011
11,11,中正區,12,http://www.chinatimes.com/newspapers/20150930000132-260204,7,ltn00012
12,12,中正區,13,http://www.chinatimes.com/newspapers/20150930000628-260102,7,ltn00013
13,13,中正區,14,http://www.chinatimes.com/realtimenews/20150928002777-260401,7,ltn00014
14,14,中正區,15,http://www.chinatimes.com/realtimenews/20150928001245-260405,7,ltn00015
15,15,中正區,16,http://www.chinatimes.com/realtimenews/20150928002312-260401,7,ltn00016
16,16,中正區,17,http://www.chinatimes.com/realtimenews/20150926002129-260401,7,ltn00017
17,17,中正區,18,http://www.chinatimes.com/realtimenews/20150927001005-260405,7,ltn00018
18,18,大同區,1,http://www.chinatimes.com/newspapers/20151028000579-260107,2,ltn00019
19,19,大同區,2,http://www.chinatimes.com/newspapers/20151027000379-260102,2,ltn00020
20,20,大同區,3,http://www.chinatimes.com/realtimenews/20151023005430-260402,2,ltn00021
21,21,大同區,4,http://www.chinatimes.com/newspapers/20151024000325-260102,2,ltn00022
22,22,大同區,5,http://www.chinatimes.com/realtimenews/20151021005171-260410,3,ltn00023
23,23,大同區,6,http://www.chinatimes.com/newspapers/20151021000667-260107,3,ltn00024
24,24,大同區,7,http://www.chinatimes.com/newspapers/20151020000426-260106,3,ltn00025
25,25,大同區,8,http://www.chinatimes.com/realtimenews/20151018002962-260405,3,ltn00026
26,26,大同區,9,http://www.chinatimes.com/newspapers/20151015000202-260206,4,ltn00027
27,27,大同區,10,http://www.chinatimes.com/realtimenews/20151014002757-260410,4,ltn00028
28,28,大同區,11,http://www.chinatimes.com/newspapers/20151015000124-260204,4,ltn00029
29,29,大同區,12,http://www.chinatimes.com/newspapers/20151012000678-260115,4,ltn00030
30,30,大同區,13,http://www.chinatimes.com/newspapers/20151010000216-260204,4,ltn00031
31,31,大同區,14,http://www.chinatimes.com/newspapers/20151009000255-260204,4,ltn00032
32,32,大同區,15,http://www.chinatimes.com/newspapers/20151009000147-260210,4,ltn00033
33,33,大同區,16,http://www.chinatimes.com/newspapers/20151008000350-260208,4,ltn00034
34,34,大同區,17,http://www.chinatimes.com/newspapers/20151010000216-260204,5,ltn00035
35,35,大同區,18,http://www.chinatimes.com/newspapers/20151009000255-260204,5,ltn00036
36,36,大同區,19,http://www.chinatimes.com/newspapers/20151009000147-260210,5,ltn00037
37,37,大同區,20,http://www.chinatimes.com/newspapers/20151008000350-260208,5,ltn00038
38,38,大同區,21,http://www.chinatimes.com/newspapers/20151003000159-260206,5,ltn00039
39,39,大同區,22,http://www.chinatimes.com/realtimenews/20150929001505-260405,5,ltn00040
40,40,大同區,23,http://www.chinatimes.com/newspapers/20150930000132-260204,5,ltn00041
41,41,大同區,24,http://www.chinatimes.com/newspapers/20150929000357-260102,6,ltn00042
42,42,大同區,25,http://www.chinatimes.com/newspapers/20150929000359-260102,6,ltn00043
43,43,大同區,26,http://www.chinatimes.com/realtimenews/20150928002312-260401,6,ltn00044
44,44,大同區,27,http://www.chinatimes.com/realtimenews/20150928000960-260401,6,ltn00045
45,45,大同區,28,http://www.chinatimes.com/realtimenews/20150926002002-260402,6,ltn00046
46,46,大同區,29,http://www.chinatimes.com/newspapers/20150926000531-260107,6,ltn00047
47,47,大同區,30,http://www.chinatimes.com/newspapers/20150921000100-260205,7,ltn00048
48,48,大同區,31,http://www.chinatimes.com/newspapers/20150919000385-260106,7,ltn00049
49,49,大同區,32,http://www.chinatimes.com/realtimenews/20150916003101-260401,7,ltn00050
50,50,大同區,33,http://www.chinatimes.com/newspapers/20150917000940-260309,7,ltn00051
51,51,中山區,1,http://www.chinatimes.com/newspapers/20150917000057-260202,1,ltn00052
52,52,中山區,2,http://www.chinatimes.com/newspapers/20150917000048-260202,1,ltn00053
53,53,中山區,3,http://www.chinatimes.com/realtimenews/20150914004326-260402,1,ltn00054
54,54,中山區,4,http://www.chinatimes.com/newspapers/20150915001006-260310,1,ltn00055
55,55,中山區,5,http://www.chinatimes.com/newspapers/20150914000321-260102,1,ltn00056
56,56,中山區,6,http://www.chinatimes.com/newspapers/20150909000609-260107,1,ltn00057
57,57,中山區,7,http://www.chinatimes.com/newspapers/20151031000480-260107,2,ltn00058
58,58,中山區,8,http://www.chinatimes.com/newspapers/20151031000320-260102,2,ltn00059
59,59,中山區,9,http://www.chinatimes.com/realtimenews/20151030006602-260402,2,ltn00060
60,60,中山區,10,http://www.chinatimes.com/newspapers/20151031000580-260107,2,ltn00061
61,61,中山區,11,http://www.chinatimes.com/newspapers/20151031000409-260109,2,ltn00062
62,62,中山區,12,http://www.chinatimes.com/newspapers/20151031000265-260210,2,ltn00063
63,63,中山區,13,http://www.chinatimes.com/realtimenews/20151030005967-260405,2,ltn00064
64,64,中山區,14,http://www.chinatimes.com/realtimenews/20151029005086-260410,2,ltn00065
65,65,中山區,15,http://www.chinatimes.com/realtimenews/20151030002233-260405,2,ltn00066
66,66,中山區,16,http://www.chinatimes.com/newspapers/20151030001562-260107,2,ltn00067
67,67,中山區,17,http://www.chinatimes.com/newspapers/20151030001332-260204,3,ltn00068
68,68,中山區,18,http://www.chinatimes.com/realtimenews/20151029004589-260403,3,ltn00069
69,69,中山區,19,http://www.chinatimes.com/newspapers/20151029000483-260109,3,ltn00070
70,70,中山區,20,http://www.chinatimes.com/newspapers/20151029000455-260106,3,ltn00071
71,71,中山區,21,http://www.chinatimes.com/realtimenews/20151028004080-260402,3,ltn00072
72,72,中山區,22,http://www.chinatimes.com/newspapers/20151026000796-260301,5,ltn00073
73,73,中山區,23,http://www.chinatimes.com/realtimenews/20151026001138-260401,5,ltn00074
74,74,中山區,24,http://www.chinatimes.com/newspapers/20151024000519-260107,6,ltn00075
75,75,中山區,25,http://www.chinatimes.com/realtimenews/20151023005514-260405,6,ltn00076
76,76,中山區,26,http://www.chinatimes.com/newspapers/20151024000951-260302,6,ltn00077
77,77,中山區,27,http://www.chinatimes.com/realtimenews/20151022001961-260410,6,ltn00078
78,78,中山區,28,http://www.chinatimes.com/realtimenews/20151022004930-260407,6,ltn00079
79,79,中山區,29,http://www.chinatimes.com/newspapers/20151023000522-260107,6,ltn00080
80,80,中山區,30,http://www.chinatimes.com/newspapers/20151022000567-260107,7,ltn00081
81,81,中山區,31,http://www.chinatimes.com/newspapers/20151021000428-260102,7,ltn00082
82,82,中山區,32,http://www.chinatimes.com/realtimenews/20151018002869-260402,7,ltn00083
83,83,中山區,33,http://www.chinatimes.com/newspapers/20151019000116-260204,7,ltn00084
84,84,松山區,1,http://www.chinatimes.com/newspapers/20151018000578-260102,1,ltn00085
85,85,松山區,2,http://www.chinatimes.com/newspapers/20151017000582-260111,1,ltn00086
86,86,松山區,3,http://www.chinatimes.com/newspapers/20151016000618-260107,1,ltn00087
87,87,松山區,4,http://www.chinatimes.com/newspapers/20151016000157-260204,1,ltn00088
88,88,松山區,5,http://www.chinatimes.com/newspapers/20151016000294-260204,1,ltn00089
89,89,松山區,6,http://www.chinatimes.com/realtimenews/20151028004080-260402,2,ltn00090
90,90,松山區,7,http://www.chinatimes.com/realtimenews/20151027004338-260407,2,ltn00091
91,91,松山區,8,http://www.chinatimes.com/realtimenews/20151027002259-260407,2,ltn00092
92,92,松山區,9,http://www.chinatimes.com/realtimenews/20151027004578-260407,2,ltn00093
93,93,松山區,10,http://www.chinatimes.com/newspapers/20151026000779-260301,2,ltn00094
94,94,松山區,11,http://www.chinatimes.com/realtimenews/20151025002950-260403,2,ltn00095
95,95,松山區,12,http://www.chinatimes.com/newspapers/20151025000794-260301,3,ltn00096
96,96,松山區,13,http://www.chinatimes.com/newspapers/20151024000245-260210,3,ltn00097
97,97,松山區,14,http://www.chinatimes.com/newspapers/20151024000681-260112,3,ltn00098
98,98,松山區,15,http://www.chinatimes.com/realtimenews/20151022004930-260407,3,ltn00099
99,99,松山區,16,http://www.chinatimes.com/realtimenews/20151022004137-260404,3,ltn00100
100,100,松山區,17,http://www.chinatimes.com/newspapers/20151023000368-260102,3,ltn00101
101,101,松山區,18,http://www.chinatimes.com/realtimenews/20151023001365-260401,3,ltn00102
102,102,松山區,19,http://www.chinatimes.com/newspapers/20151021000165-260204,4,ltn00103
103,103,松山區,20,http://www.chinatimes.com/newspapers/20151021000481-260106,4,ltn00104
104,104,松山區,21,http://www.chinatimes.com/realtimenews/20151019002374-260410,4,ltn00105
105,105,松山區,22,http://www.chinatimes.com/realtimenews/20151018003322-260403,4,ltn00106
106,106,松山區,23,http://www.chinatimes.com/realtimenews/20151018001884-260407,4,ltn00107
107,107,松山區,24,http://www.chinatimes.com/realtimenews/20151018003352-260403,4,ltn00108
108,108,松山區,25,http://www.chinatimes.com/realtimenews/20151017004322-260403,4,ltn00109
109,109,松山區,26,http://www.chinatimes.com/realtimenews/20151017002749-260405,4,ltn00110
110,110,松山區,27,http://www.chinatimes.com/realtimenews/20151016004280-260403,5,ltn00111
111,111,松山區,28,http://www.chinatimes.com/newspapers/20151017000644-260112,5,ltn00112
112,112,松山區,29,http://www.chinatimes.com/realtimenews/20151016002929-260407,5,ltn00113
113,113,松山區,30,http://www.chinatimes.com/realtimenews/20151012003948-260402,5,ltn00114
114,114,松山區,31,http://www.chinatimes.com/newspapers/20151013001039-260306,5,ltn00115
115,115,松山區,32,http://www.chinatimes.com/realtimenews/20151011002967-260403,5,ltn00116
116,116,松山區,33,http://www.chinatimes.com/realtimenews/20151011002981-260403,6,ltn00117
117,117,松山區,34,http://www.chinatimes.com/realtimenews/20151010002790-260405,6,ltn00118
118,118,松山區,35,http://www.chinatimes.com/newspapers/20151011000341-260102,6,ltn00119
119,119,松山區,36,http://www.chinatimes.com/realtimenews/20151010003681-260403,6,ltn00120
120,120,松山區,37,http://www.chinatimes.com/realtimenews/20151009005042-260403,6,ltn00121
