_id,area,content,count,date,like,link,page,title
0,中正區,27歲台荷混血的鄭姓男子，自稱求職不順，在台北流浪多年，經常睡公園或地下道，生活十分坎坷，8月蘇迪勒颱風來襲時，他在公園被暴風雨嚇到，決定努力工作找地方住，但貪圖方便，看到鑰匙沒拔的機車，就順路騎去上班，日前遭警方逮捕。鄭男在警局說起身世眼眶泛紅，表示他在荷蘭出生，父親是荷蘭人，母親是台灣人，但一出生媽媽就離家，8歲時父親過世，他就被送回台灣，交給高雄阿姨寄養。18歲當完兵後，阿姨就要他自力更生，給一些錢叫他搬走，但他求職不順，錢花光後輾轉流浪到台北，這幾年常睡在公園或地下道，有時甚至2天沒吃飯。8月蘇迪勒颱風來襲時，鄭當晚睡在公園，整夜的狂風暴雨讓他嚇得半死，決心要認真工作，找個安穩的地方睡覺，在熱心朋友牽線下，先到萬華某賓館「以工換宿」，接著又找到大同一家餐廳當調酒師。鄭說因為沒有交通工具，本月17日趕著上班，看到路邊有鑰匙沒拔的機車，就順手牽過來騎，下班時發現沒油，又拿這付鑰匙去開別的機車，一天之內連續「偷」了3部車，都是騎完就丟在一旁。中正二分局循線追查，日前趁鄭下班時，在他工作餐廳附近將他逮捕，鄭在警局坦承行竊，但強調只是貪圖方便，還說上班未滿一個月，薪水還沒發下來，很擔心因為這樣又丟工作，不斷哀求警方「以後不敢了」、「拜託請幫幫我」，警訊後被依竊盜罪送辦。(中時即時)出版編輯：丁世傑,1,2015/10/30 00:00,275,http://www.chinatimes.com/realtimenews/20151030006144-260402,1,台荷混血兒 自稱坎坷偷機車
1,中正區,建置多元收益能量，炎洲(4306)、上曜(1316)近年積極部署建案投資，惟近年打房力道衝擊，炎洲、上曜進軍商旅計畫也順勢調整啟動。其中，炎洲今年底除有旺洲More建案獲利入帳貢獻，重慶南路大樓重新裝潢將打造成青年旅館，也預計Q4開幕，有利強化營收能量。此外，聚焦南台灣耕耘的上曜，有鑑台灣在週休二日及自由行趨勢拉抬，規畫結合轉投資永捷（4714）合資成立飯店管理公司，將在台南五期及北區興建商務旅館，投資近9億元，興建28棟商務旅館；每棟樓高5層、有20間房間 。繼林口汽車旅館後，炎洲將旗下承德路、重慶兩大樓改裝，分別規畫轉進商務、背包客商旅，多元並進。旺洲建設先前以總價3.1億元買下的台北市中正區重慶南路三段38號大樓，因鄰近植物園、國立歷史博物館、台灣藝術教育 館，還包括建國中學、北一女中、國語實驗小學等，將規畫提供國外 背客小坪數住宿飯店。至於炎洲購入的士林承德路商辦大樓，也將在續租約到期，改為 集團旗下汽車旅館台北第一家營運據點。(工商即時)出版編輯：唐主桂,2,2015/10/29 00:00,339,http://www.chinatimes.com/realtimenews/20151029003244-260410,1,房市趨緩 炎洲、上曜資產佈局轉進商旅
2,中正區,國內最權威、規模最盛大的企業、建築獎項「第17屆國家建築金質獎暨第12屆國家品牌玉山獎」頒獎典禮於28日晚上7時在公務人力發展中心二樓卓越堂盛大舉行，為每年全國營建、企業矚目的焦點，典禮當天吸引全國共700多位產、官、學界精英代表齊聚一堂，共同見證這歷史性的時刻。頒獎典禮莊嚴隆重，中華民國國家企業競爭力發展協會更邀請副總統吳敦義、監察院張博雅院長、行政院許俊逸政務委員（兼公共工程委員會主委）、經濟部卓士昭政務次長、國發會黃萬翔副主委、營建署王榮進副署長親臨致詞頒獎，並代表政府給建築營建及企業最大的支持與鼓勵。吳副總統親臨頒獎致詞表示，國家品牌玉山獎就是鼓勵企業增加服務的質與量、深度與廣度，與政府一起努力推動經濟發展，引領產業升級，並在技術、專利上繼續努力創新研發，透過台灣卓越的品牌價值，讓台灣產品推廣到世界各地。他特別肯定主辦單位用心舉辦國家建築金質獎及國家品牌玉山獎表揚活動。本次共選出43件國家建築金質獎及77件國家品牌玉山獎得獎作品，獲獎如遠雄建設、頂高建設、亞昕國際開發、璞園開發等皆為極具優良信譽之企業，也包含知名三大聯合建築的金門風獅爺商店街，名建築師劉演交的「國賓A區」，豪璟建設與台灣松下營造的「中正藏璽」，品牌玉山獎獲獎知名企業如富邦人壽保險、和運租車、台灣國際造船、國泰綜合證券等，「國家建築金質獎」網站：www.yestaiwan.com.tw。(工商時報),3,2015/10/30 00:00,59,http://www.chinatimes.com/newspapers/20151030001349-260208,1,建築金質獎、品牌玉山獎 揭曉
3,中正區,國內最具規模，有184隊、參賽人數超過2000人的第8屆校園10人11腳競速大對決，10月31日（六）將在高雄市立社會教育館熱烈開跑，其中燕巢區深水國小全校僅26名學生，跨年級二至六年級組隊參加，年齡及身高差距最大，平均身高130公分，學校小志氣高，取隊名「對彎沒丟」(台語，意即「跟我不上)，代表的不只是速度，還有自信的態度。福誠國小的「佩佩豬」隊中就有3對雙胞胎的組合，雙胞胎的默契會不會比其他隊伍更心有靈犀呢？文藻外語大學的「聯合國艦隊」，隊員全部來自印尼，到台灣念書而結識的她們，要彼此扶持完成挑戰。去年各組冠軍：五林國小、鳳翔國中、南隆國中、中正高工等學校也都沒有缺席，台南市的南榮科技大學、東原國中是去年亞軍，也都重振旗鼓，磨「腳」霍霍。(中時即時)出版編輯：王家禕,4,2015/10/29 00:00,166,http://www.chinatimes.com/realtimenews/20151029004447-260405,1,第8屆校園10人11腳競速對決 周六熱烈開跑
4,中正區,27岁台荷混血的郑姓男子，自称求职不顺，在台北流浪多年，经常睡公园或地下道，生活十分坎坷，8月苏迪勒颱风来袭时，他在公园被暴风雨吓到，决定努力工作找地方住，但贪图方便，看到钥匙没拔的机车，就顺路骑去上班，日前遭警方逮捕。郑男在警局说起身世眼眶泛红，表示他在荷兰出生，父亲是荷兰人，母亲是台湾人，但一出生妈妈就离家，8岁时父亲过世，他就被送回台湾，交给高雄阿姨寄养。18岁当完兵后，阿姨就要他自力更生，给一些钱叫他搬走，但他求职不顺，钱花光后辗转流浪到台北，这几年常睡在公园或地下道，有时甚至2天没吃饭。8月苏迪勒颱风来袭时，郑当晚睡在公园，整夜的狂风暴雨让他吓得半死，决心要认真工作，找个安稳的地方睡觉，在热心朋友牵线下，先到万华某宾馆「以工换宿」，接着又找到大同一家餐厅当调酒师。郑说因为没有交通工具，本月17日赶着上班，看到路边有钥匙没拔的机车，就顺手牵过来骑，下班时发现没油，又拿这付钥匙去开别的机车，一天之内连续「偷」了3部车，都是骑完就丢在一旁。中正二分局循线追查，日前趁郑下班时，在他工作餐厅附近将他逮捕，郑在警局坦承行窃，但强调只是贪图方便，还说上班未满一个月，薪水还没发下来，很担心因为这样又丢工作，不断哀求警方「以后不敢了」、「拜托请帮帮我」，警讯后被依窃盗罪送办。(中时即时)出版编辑：丁世杰,5,2015/10/30 00:00,275,http://www.chinatimes.com/cn/realtimenews/20151030006144-260402,1,台荷混血儿 自称坎坷偷机车
5,中正區,(12:30更新)台北地檢署接獲美國在台協會AIT檢舉，指有跨國賣淫集團，北檢發交大安警分局、台北市調查處外事科偵辦。美國在台協會AIT因發現近日有多名年輕女子赴美，疑似從事跨國賣淫，向大安警分局報案，警方監聽數月後，昨搜索應召集團負責人戴君儀、仲介的鍾宜姿、「太陽花女王」劉喬安3人住處，並約談3人到案。檢方訊後依《人口販運防制法》諭令戴女50萬交保、鍾女25萬交保、劉女5萬交保，均限制出境。台北市調處、大安分局今天仍繼續約談賣淫小模等多名證人，查證是否遭到應召集團性剝削，訊後將移送北檢複訊。據指出，美國在台協會AIT幾個月前發現，有多名年輕女子以留學、旅遊等名義，辦理赴美簽證，但這些女子的在美國的出入境時間異常，懷疑簽證名義不符，疑赴美賣淫。美國在台協會AIT遂整理多名異常出入境的年輕女子資料，向轄區的大安分局報案，大安分局懷疑是跨國賣淫集團，遂報請北檢指揮偵辦。北檢因本案事涉跨國犯罪，另發交台北市調處外事科協助調查。警方依據AIT提供的資料後，逐一訊問異常出入境的女子後，懷疑戴君儀、仲介的鍾姓女子、「太陽花女王」劉喬安3人涉及跨國賣淫案，遂對戴女等人實施監聽，經監聽數個月，昨天展開搜索約談。警調懷疑，戴君儀、鍾女、劉喬安等人以安排仲介年輕女子赴美賣淫，並為她們代辦赴美簽證，從中抽佣牟利。警調懷疑，劉喬安涉嫌運用她在演藝及名媛交際圈的人脈，牽線介紹缺錢花用的女藝人或模特兒到美國高價賣淫。據了解，該集團帶往美國接客的演藝圈美眉、小模中，有人宣稱並非自願，檢方因此認定劉喬安等集團成員涉嫌販運人口。(中時即時)出版編輯：邱文秀校正編輯：謝雅柔,6,2015/10/28 00:00,122119,http://www.chinatimes.com/realtimenews/20151028002523-260401,1,太陽花女王劉喬安涉跨國賣淫 5萬元交保
6,中正區,中埔鄉設計師江承峻小時候只能看著同學掏錢玩雜貨店刮刮卡，缺憾經驗讓他在有能力成立工作室時，立刻出資認養國外貧童，一來多個孩子飲食無虞，二來促進非洲農業技術發展，他相信，願意幫助別人，人生才是真正富足。公益刮刮樂買氣夯，出身勤儉木工之家江承峻，看到高價刮刮樂就想到小時候玩不起的刮刮卡，他說，以前大家成群到雜貨店試手氣，朋友都能玩，但他久久才能買1張5元卡片，心裡羨慕卻也深刻體悟到貧富差距存在，此後，總想著有機會一定要幫忙物資貧乏的小朋友。闖蕩網拍界也當過業務員，25歲時好不容易熬到開設室內設計工作室，「與其花千元買刮刮樂不如直接捐助需要的人！」接下第1件案子同時透過世界展望會資助伊索比亞的單親女孩Tekuada(塔圭妲)，江承峻表示，「我知道她等待我的幫助很久了」，身為木工之子，他特別寄送刻印台灣地圖的木頭明信片，承諾撐起塔圭妲的家。展望會辦事處主任王昶評表示，非洲國家面臨的糧食危機較1990年代更嚴峻，展望會在糧荒區推動糧食保障、農業技術發展等方案，目前仍有許多個案極需愛心澆灌。(中國時報),7,2015/10/29 00:00,83,http://www.chinatimes.com/newspapers/20151029000607-260107,2,省刮刮樂錢 設計師認養非洲貧童
7,中正區,※迪士尼年終聖誕大驚喜！《冰雪奇緣 冰紛特展》盛大開展！影史上最賣座的動畫電影：迪士尼《冰雪奇緣》，將於今年冬天為您獻上驚喜大禮-「冰雪奇緣 冰紛特展」！自2015年12月25日起至2016年4月10日就在中正紀念堂 民主大道廣場盛大展出！由台灣華特迪士尼公司指導，台灣電通、時藝多媒體、野獸國玩具共同主辦，希望能讓所有的大小朋友們體驗今年冬天最與眾不同的冰紛世界！為了造福所有喜愛冰雪奇緣的粉絲們，早鳥優惠限時搶購即日起至11月10日止，在各大通路搶先預購(ibon售票系統、Gomaji、17Life)，優惠價每張250元(7折)。※擬真重現電影場景，一睹迪士尼《冰雪奇緣》動畫藝術！超乎想像的展出內容設計，擬真重現迪士尼《冰雪奇緣》的電影場景，並讓您如進入電影劇情般地與艾莎、安娜、雪寶、阿克及馴鹿小斯等經典人物近距離接觸！除此之外，特展更將呈現百餘件作品，其中包括素描、設計圖、場景畫、角色設計、雕塑、珍貴手稿、動畫揀選短片等，以寓教於樂的方式，讓大小朋友們一同進入迪士尼《冰雪奇緣》的動畫世界，一睹電影動畫技術的最高境界！※前所未有的冰雪體驗，挑戰零下8度C的夢幻冰紛世界本展除了結合豐富展件與許多不為人知的幕後秘辛之外，更透過一首首的經典歌曲串聯全場，跟著電影劇情，帶您進入艾莎女王的冰雪王國，實境感受零下8度C的凍感體驗！還有歡樂的冰紛廣場，無論是打雪仗、在雪山冰滑梯享受冰涼快感，或是踏足白雪皚皚的冰雪世界，堆出專屬您的小雪寶，都將讓粉絲們享受前所未有的冰雪體驗！※寒假Let it go，一起珍藏冰雪奇緣的美好回憶「冰雪奇緣 冰紛特展」不僅帶您重新回味《冰雪奇緣》的感動之外，更能讓您充分享受拍照打卡樂趣，與親愛的家人、朋友紀念美好回憶！還有最新的冰雪奇緣特展限定商品，以及眾多迪士尼全系列商品，都在冰紛特展等你把奇妙幸福帶回家！自12月25日起，快來找艾莎女王共唱Let it go，讓今年寒假繼續熱雪沸騰！更多活動訊息，請密切關注「冰雪奇緣 冰紛特展」，台灣官方網站www.frozenevent.com.tw。●展覽各區介紹1.艾倫戴爾王國在安娜及艾莎所出生的艾倫戴爾皇宮中，收藏了迪士尼團隊為《冰雪奇緣》所設計的原創構思，包含手稿、創作腳本、場景設計…等，還有許多隱藏版動畫短片等著您一窺究竟！2.艾莎公主的秘密看似冷冰冰的艾莎擁有點人成冰的魔法，所以一直不敢接近人群，尤其是不敢靠近安娜怕傷害到親愛的妹妹。本區將復刻安娜與艾莎公主的主要人物設定，並透過科技的手法一起感受她們的姐妹情深！3.浪漫鐘樓浪漫的鐘樓是安娜與漢斯的定情場景，快和您最珍惜的家人、朋友，一起留下真愛的幸福記憶吧！4.奧肯雜貨舖在這裡您可以像安娜一樣向奧肯老闆租借抗寒衣物，同時也會遇到阿克與可愛的馴鹿小斯，準備好了沒？接下來就要進入零下8度C的冰雪世界囉！5.冰雪森林(低溫區)哇！一進入冰紛的冰雪森林，馬上就遇到了人見人愛的雪寶，安娜、阿克與小斯，他們也都在一旁等著您搭上雪橇，與他們一起踏上尋找艾莎的冒險旅程喔！6.精靈山谷(低溫區)一群住在遙遠山谷裡的小精靈們熱情地歡迎您的到來，快拿起您的相機與他們合照留念吧！7.雪怪守衛(低溫區)小心！巨型雪怪就在冰堡前守護著艾莎女王，看看你有沒有辦法順利通過它到達冰雪城堡喔！8.冰雪城堡(低溫區)終於來到艾莎女王的冰雪城堡了！在超大冰磚堆砌的冰雪城堡中，一起高歌風靡全球的《Let It Go》，熟悉的旋律加上絢麗燦爛的燈光特效，重現電影經典橋段，讓全場滿心幸福！9.冰紛廣場(低溫區)Do You Want to Build a Snowman？最歡樂的冰紛廣場歡迎所有的大小朋友們一起玩雪，有以大型冰磚堆砌而成的巨型冰滑梯，讓您享受滑冰樂趣，也可以在白細綿密的雪地，堆出專屬您的小雪寶，還可以體驗打雪仗的無限樂趣喔！10.艾倫戴爾商店街(免票區)盡情玩樂之後，當然不能錯過一系列最新的冰雪奇緣特展限定商品，以及眾多迪士尼全系列商品，讓您能把迪士尼的奇妙幸福帶回家一起珍藏！●展覽資訊◎展覽日期：2015年12月25日-2016年4月10日(除夕休館)◎營業時間：每日Am10:00-18:00 (17:30停止售票入場)◎展覽地點：中正紀念堂 民主大道◎指導單位：台灣華特迪士尼◎主辦單位：時藝多媒體、野獸國玩具、台灣電通◎協辦單位：九井廣告◎主要贊助：玉山銀行◎媒體協辦：妞新聞◎詳情請上活動官網：www.frozenevent.com.tw,8,2015/10/28 00:00,6/10,http://www.chinatimes.com/realtimenews/20151028002699-260405,2,Disney Frozen『冰雪奇緣 冰紛特展』 早鳥優惠限時搶購開跑囉！
8,中正區,国内最具规模，有184队、参赛人数超过2000人的第8届校园10人11脚竞速大对决，10月31日（六）将在高雄市立社会教育馆热烈开跑，其中燕巢区深水国小全校仅26名学生，跨年级二至六年级组队参加，年龄及身高差距最大，平均身高130公分，学校小志气高，取队名「对弯没丢」(台语，意即「跟我不上)，代表的不只是速度，还有自信的态度。福诚国小的「佩佩猪」队中就有3对双胞胎的组合，双胞胎的默契会不会比其他队伍更心有灵犀呢？文藻外语大学的「联合国舰队」，队员全部来自印尼，到台湾念书而结识的她们，要彼此扶持完成挑战。去年各组冠军：五林国小、凤翔国中、南隆国中、中正高工等学校也都没有缺席，台南市的南荣科技大学、东原国中是去年亚军，也都重振旗鼓，磨「脚」霍霍。(中时即时)出版编辑：王家祎,9,2015/10/29 00:00,166,http://www.chinatimes.com/cn/realtimenews/20151029004447-260405,2,第8届校园10人11脚竞速对决 周六热烈开跑
9,中正區,基隆貨櫃車違規偷跑中正高架橋，警方取締防不勝防！自去年5月底開始，除東、西岸碼頭尖轉運車輛於特地時間准予通行外，其餘時間則禁止大貨車、聯結車通行，但不少業者仍鑽漏洞「偷跑」，使得基隆市道路交通以及高架橋結構負荷汲汲可危。去年禁令開始時，警方在中正路、東海街口頻頻攔檢違規行駛市區道路的貨櫃車，統統開單勸導，要求出港區的貨櫃車一律行駛台62甲線東岸聯外道路；而1年多過去，警方目前鮮少進行取締，也讓司機們開始又有了僥倖心態。昨天基隆市市務會議中，指出目前又有不肖業者開始不遵守規定，偷偷行駛中正高架橋，避免繞行市外一圈進入港區。不過為因應部分東西岸碼頭間轉運車輛，行駛東岸、西岸聯外道路路程太遠，去年道安會報同意開放部分時段，包括上午9點至下午4點，晚上7點至10點，開放轉運貨櫃車通行中正路、中正高架橋，但如今許多業者為省油料，而警方也未積極取締，造成中正路和中正高架橋貨櫃車充斥。(中國時報),10,2015/10/28 00:00,221,http://www.chinatimes.com/newspapers/20151028000581-260107,2,基隆中正高架橋 貨櫃車又偷跑
