,area,count,link,page,pk
0,中正區,1,http://news.ltn.com.tw/news/local/paper/928054,1,ltn00001
1,中正區,2,http://news.ltn.com.tw/news/politics/breakingnews/1491191,1,ltn00002
2,中正區,3,http://news.ltn.com.tw/news/politics/paper/927779,1,ltn00003
3,中正區,4,http://news.ltn.com.tw/news/life/breakingnews/1490073,1,ltn00004
4,中正區,5,http://news.ltn.com.tw/news/local/paper/927410,1,ltn00005
5,中正區,6,http://news.ltn.com.tw/news/business/paper/927224,1,ltn00006
6,中正區,7,http://news.ltn.com.tw/news/society/breakingnews/1487705,1,ltn00007
7,中正區,8,http://news.ltn.com.tw/news/society/breakingnews/1487634,1,ltn00008
8,中正區,9,http://news.ltn.com.tw/news/society/breakingnews/1484013,1,ltn00009
9,中正區,10,http://news.ltn.com.tw/news/business/paper/925898,1,ltn00010
10,中正區,11,http://news.ltn.com.tw/news/life/paper/925938,1,ltn00011
11,中正區,12,http://news.ltn.com.tw/news/business/breakingnews/1482668,1,ltn00012
12,中正區,13,http://news.ltn.com.tw/news/life/breakingnews/1481132,1,ltn00013
13,中正區,14,http://news.ltn.com.tw/news/life/paper/925013,1,ltn00014
14,中正區,15,http://news.ltn.com.tw/news/politics/breakingnews/1480472,1,ltn00015
15,中正區,16,http://news.ltn.com.tw/news/life/breakingnews/1480159,2,ltn00016
16,中正區,17,http://news.ltn.com.tw/news/life/breakingnews/1480011,2,ltn00017
17,中正區,18,http://news.ltn.com.tw/news/local/paper/924945,2,ltn00018
18,中正區,19,http://news.ltn.com.tw/news/life/breakingnews/1479127,2,ltn00019
19,中正區,20,http://news.ltn.com.tw/news/consumer/paper/924314,2,ltn00020
20,中正區,21,http://news.ltn.com.tw/news/consumer/paper/924316,2,ltn00021
21,中正區,22,http://news.ltn.com.tw/news/local/paper/924217,2,ltn00022
22,中正區,23,http://news.ltn.com.tw/news/life/paper/923974,2,ltn00023
23,中正區,24,http://talk.ltn.com.tw/article/breakingnews/1474224,2,ltn00024
24,中正區,25,http://news.ltn.com.tw/news/society/breakingnews/1473919,2,ltn00025
25,中正區,26,http://news.ltn.com.tw/news/society/breakingnews/1472788,2,ltn00026
26,中正區,27,http://news.ltn.com.tw/news/society/breakingnews/1471163,2,ltn00027
27,中正區,28,http://news.ltn.com.tw/news/consumer/paper/922417,2,ltn00028
28,中正區,29,http://news.ltn.com.tw/news/consumer/paper/922418,2,ltn00029
29,中正區,30,http://news.ltn.com.tw/news/consumer/paper/922420,2,ltn00030
30,中正區,31,http://news.ltn.com.tw/news/life/breakingnews/1470709,3,ltn00031
31,中正區,32,http://news.ltn.com.tw/news/business/breakingnews/1470347,3,ltn00032
32,中正區,33,http://news.ltn.com.tw/news/local/paper/921997,3,ltn00033
33,中正區,34,http://news.ltn.com.tw/news/life/paper/922071,3,ltn00034
34,中正區,35,http://news.ltn.com.tw/news/society/breakingnews/1467920,3,ltn00035
35,中正區,36,http://news.ltn.com.tw/news/local/paper/921588,3,ltn00036
36,中正區,37,http://news.ltn.com.tw/news/life/breakingnews/1467120,3,ltn00037
37,中正區,38,http://news.ltn.com.tw/news/society/breakingnews/1466870,3,ltn00038
38,中正區,39,http://news.ltn.com.tw/news/local/paper/921273,3,ltn00039
39,中正區,40,http://news.ltn.com.tw/news/society/paper/921309,3,ltn00040
40,中正區,41,http://news.ltn.com.tw/news/life/breakingnews/1466336,3,ltn00041
41,中正區,42,http://news.ltn.com.tw/news/society/breakingnews/1465616,3,ltn00042
42,中正區,43,http://news.ltn.com.tw/news/politics/breakingnews/1464546,3,ltn00043
43,中正區,44,http://news.ltn.com.tw/news/consumer/paper/920439,3,ltn00044
44,中正區,45,http://news.ltn.com.tw/news/politics/breakingnews/1463351,3,ltn00045
45,中正區,46,http://news.ltn.com.tw/news/local/paper/920248,4,ltn00046
46,中正區,47,http://news.ltn.com.tw/news/life/breakingnews/1462596,4,ltn00047
47,中正區,48,http://news.ltn.com.tw/news/society/breakingnews/1462028,4,ltn00048
48,中正區,49,http://news.ltn.com.tw/news/life/breakingnews/1461901,4,ltn00049
49,中正區,50,http://news.ltn.com.tw/news/business/breakingnews/1460678,4,ltn00050
50,中正區,51,http://news.ltn.com.tw/news/local/paper/919667,4,ltn00051
51,中正區,52,http://news.ltn.com.tw/news/life/breakingnews/1460013,4,ltn00052
52,中正區,53,http://news.ltn.com.tw/news/focus/paper/919468,4,ltn00053
53,中正區,54,http://news.ltn.com.tw/news/local/paper/919498,4,ltn00054
54,中正區,55,http://news.ltn.com.tw/news/local/paper/919502,4,ltn00055
55,中正區,56,http://news.ltn.com.tw/news/life/paper/919575,4,ltn00056
56,中正區,57,http://news.ltn.com.tw/news/life/breakingnews/1459004,4,ltn00057
57,中正區,58,http://news.ltn.com.tw/news/life/breakingnews/1458901,4,ltn00058
58,中正區,59,http://news.ltn.com.tw/news/politics/breakingnews/1456887,4,ltn00059
59,中正區,60,http://news.ltn.com.tw/news/politics/breakingnews/1456739,4,ltn00060
60,中正區,61,http://news.ltn.com.tw/news/consumer/paper/918612,5,ltn00061
61,中正區,62,http://news.ltn.com.tw/news/local/paper/918783,5,ltn00062
62,中正區,63,http://news.ltn.com.tw/news/life/breakingnews/1456375,5,ltn00063
63,中正區,64,http://news.ltn.com.tw/news/politics/breakingnews/1454713,5,ltn00064
64,中正區,65,http://news.ltn.com.tw/news/business/breakingnews/1454706,5,ltn00065
65,中正區,66,http://news.ltn.com.tw/news/supplement/paper/917753,5,ltn00066
66,中正區,67,http://news.ltn.com.tw/news/local/paper/917568,5,ltn00067
67,中正區,68,http://news.ltn.com.tw/news/local/paper/917576,5,ltn00068
68,中正區,69,http://news.ltn.com.tw/news/local/paper/916441,5,ltn00069
69,中正區,70,http://news.ltn.com.tw/news/life/breakingnews/1448150,5,ltn00070
70,中正區,71,http://news.ltn.com.tw/news/life/breakingnews/1447130,5,ltn00071
71,中正區,72,http://news.ltn.com.tw/news/local/paper/916220,5,ltn00072
72,中正區,73,http://news.ltn.com.tw/news/life/paper/916298,5,ltn00073
73,中正區,74,http://news.ltn.com.tw/news/life/paper/915356,5,ltn00074
74,中正區,75,http://news.ltn.com.tw/news/supplement/paper/915456,5,ltn00075
75,大同區,1,http://news.ltn.com.tw/news/society/breakingnews/1492247,1,ltn00076
76,大同區,2,http://news.ltn.com.tw/news/society/breakingnews/1490007,1,ltn00077
77,大同區,3,http://news.ltn.com.tw/news/society/breakingnews/1488725,1,ltn00078
78,大同區,4,http://news.ltn.com.tw/news/life/breakingnews/1486908,1,ltn00079
79,大同區,5,http://news.ltn.com.tw/news/society/paper/926630,1,ltn00080
80,大同區,6,http://news.ltn.com.tw/news/society/breakingnews/1485587,1,ltn00081
81,大同區,7,http://news.ltn.com.tw/news/society/paper/926407,1,ltn00082
82,大同區,8,http://news.ltn.com.tw/news/society/breakingnews/1484858,1,ltn00083
83,大同區,9,http://news.ltn.com.tw/news/business/paper/925898,1,ltn00084
84,大同區,10,http://news.ltn.com.tw/news/business/breakingnews/1482668,1,ltn00085
85,大同區,11,http://news.ltn.com.tw/news/business/breakingnews/1482631,1,ltn00086
86,大同區,12,http://news.ltn.com.tw/news/local/paper/925556,1,ltn00087
87,大同區,13,http://news.ltn.com.tw/news/society/breakingnews/1479714,1,ltn00088
88,大同區,14,http://news.ltn.com.tw/news/business/paper/923645,1,ltn00089
89,大同區,15,http://news.ltn.com.tw/news/society/breakingnews/1468492,1,ltn00090
90,大同區,16,http://news.ltn.com.tw/news/business/breakingnews/1467756,2,ltn00091
91,大同區,17,http://news.ltn.com.tw/news/society/paper/921620,2,ltn00092
92,大同區,18,http://news.ltn.com.tw/news/life/breakingnews/1467039,2,ltn00093
93,大同區,19,http://news.ltn.com.tw/news/life/breakingnews/1459731,2,ltn00094
94,大同區,20,http://news.ltn.com.tw/news/focus/paper/919468,2,ltn00095
95,大同區,21,http://news.ltn.com.tw/news/local/paper/919502,2,ltn00096
96,大同區,22,http://news.ltn.com.tw/news/life/breakingnews/1459004,2,ltn00097
97,大同區,23,http://news.ltn.com.tw/news/life/breakingnews/1458901,2,ltn00098
98,大同區,24,http://news.ltn.com.tw/news/politics/paper/918740,2,ltn00099
99,大同區,25,http://news.ltn.com.tw/news/society/breakingnews/1455932,2,ltn00100
100,大同區,26,http://news.ltn.com.tw/news/local/paper/918198,2,ltn00101
101,大同區,27,http://talk.ltn.com.tw/article/paper/917841,2,ltn00102
102,大同區,28,http://news.ltn.com.tw/news/local/paper/917568,2,ltn00103
103,大同區,29,http://news.ltn.com.tw/news/society/breakingnews/1450946,2,ltn00104
104,大同區,30,http://news.ltn.com.tw/news/politics/breakingnews/1449232,2,ltn00105
105,大同區,31,http://news.ltn.com.tw/news/society/breakingnews/1448925,3,ltn00106
106,大同區,32,http://news.ltn.com.tw/news/politics/breakingnews/1448306,3,ltn00107
107,大同區,33,http://news.ltn.com.tw/news/politics/breakingnews/1448305,3,ltn00108
108,大同區,34,http://news.ltn.com.tw/news/local/paper/916525,3,ltn00109
109,大同區,35,http://news.ltn.com.tw/news/business/paper/916542,3,ltn00110
110,大同區,36,http://news.ltn.com.tw/news/society/breakingnews/1448061,3,ltn00111
111,大同區,37,http://news.ltn.com.tw/news/society/breakingnews/1446221,3,ltn00112
112,大同區,38,http://news.ltn.com.tw/news/local/paper/915585,3,ltn00113
113,大同區,39,http://news.ltn.com.tw/news/business/paper/915612,3,ltn00114
114,大同區,40,http://news.ltn.com.tw/news/life/breakingnews/1444119,3,ltn00115
115,大同區,41,http://news.ltn.com.tw/news/business/breakingnews/1442498,3,ltn00116
116,大同區,42,http://news.ltn.com.tw/news/politics/breakingnews/1442297,3,ltn00117
117,大同區,43,http://news.ltn.com.tw/news/life/breakingnews/1441795,3,ltn00118
118,大同區,44,http://news.ltn.com.tw/news/life/breakingnews/1439108,3,ltn00119
119,大同區,45,http://news.ltn.com.tw/news/local/paper/913666,3,ltn00120
120,大同區,46,http://news.ltn.com.tw/news/society/breakingnews/1434691,4,ltn00121
121,大同區,47,http://news.ltn.com.tw/news/society/breakingnews/1434601,4,ltn00122
122,大同區,48,http://news.ltn.com.tw/news/society/paper/912239,4,ltn00123
123,大同區,49,http://talk.ltn.com.tw/article/paper/912279,4,ltn00124
124,大同區,50,http://news.ltn.com.tw/news/business/breakingnews/1432508,4,ltn00125
125,大同區,51,http://news.ltn.com.tw/news/local/paper/912001,4,ltn00126
126,大同區,52,http://news.ltn.com.tw/news/life/breakingnews/1431279,4,ltn00127
127,大同區,53,http://news.ltn.com.tw/news/society/breakingnews/1429993,4,ltn00128
128,大同區,54,http://news.ltn.com.tw/news/life/breakingnews/1428981,4,ltn00129
129,大同區,55,http://news.ltn.com.tw/news/consumer/paper/910753,4,ltn00130
130,大同區,56,http://news.ltn.com.tw/news/society/paper/910868,4,ltn00131
131,大同區,57,http://news.ltn.com.tw/news/local/paper/910637,4,ltn00132
132,大同區,58,http://news.ltn.com.tw/news/society/paper/910240,4,ltn00133
133,大同區,59,http://news.ltn.com.tw/news/business/breakingnews/1425208,4,ltn00134
134,大同區,60,http://news.ltn.com.tw/news/life/breakingnews/1424897,4,ltn00135
135,大同區,61,http://news.ltn.com.tw/news/local/paper/909996,5,ltn00136
136,大同區,62,http://news.ltn.com.tw/news/local/paper/909677,5,ltn00137
137,大同區,63,http://news.ltn.com.tw/news/life/breakingnews/1420759,5,ltn00138
138,大同區,64,http://news.ltn.com.tw/news/consumer/paper/908703,5,ltn00139
139,大同區,65,http://news.ltn.com.tw/news/business/breakingnews/1417217,5,ltn00140
140,大同區,66,http://news.ltn.com.tw/news/society/paper/907611,5,ltn00141
141,大同區,67,http://news.ltn.com.tw/news/life/breakingnews/1415317,5,ltn00142
142,大同區,68,http://news.ltn.com.tw/news/society/breakingnews/1415154,5,ltn00143
143,大同區,69,http://news.ltn.com.tw/news/local/paper/907165,5,ltn00144
144,大同區,70,http://news.ltn.com.tw/news/society/breakingnews/1413636,5,ltn00145
145,大同區,71,http://talk.ltn.com.tw/article/breakingnews/1409601,5,ltn00146
146,大同區,72,http://news.ltn.com.tw/news/life/breakingnews/1409211,5,ltn00147
147,大同區,73,http://news.ltn.com.tw/news/local/paper/905671,5,ltn00148
148,大同區,74,http://news.ltn.com.tw/news/life/breakingnews/1406271,5,ltn00149
149,大同區,75,http://news.ltn.com.tw/news/life/breakingnews/1406097,5,ltn00150
150,中山區,1,http://news.ltn.com.tw/news/society/paper/928080,1,ltn00151
151,中山區,2,http://news.ltn.com.tw/news/society/paper/928086,1,ltn00152
152,中山區,3,http://news.ltn.com.tw/news/business/breakingnews/1491702,1,ltn00153
153,中山區,4,http://news.ltn.com.tw/news/society/breakingnews/1491460,1,ltn00154
154,中山區,5,http://news.ltn.com.tw/news/politics/breakingnews/1491191,1,ltn00155
155,中山區,6,http://news.ltn.com.tw/news/society/breakingnews/1491095,1,ltn00156
156,中山區,7,http://news.ltn.com.tw/news/local/paper/927734,1,ltn00157
157,中山區,8,http://news.ltn.com.tw/news/local/paper/927834,1,ltn00158
158,中山區,9,http://news.ltn.com.tw/news/life/breakingnews/1490065,1,ltn00159
159,中山區,10,http://news.ltn.com.tw/news/focus/paper/927492,1,ltn00160
160,中山區,11,http://news.ltn.com.tw/news/local/paper/927510,1,ltn00161
161,中山區,12,http://news.ltn.com.tw/news/local/paper/927517,1,ltn00162
162,中山區,13,http://news.ltn.com.tw/news/life/breakingnews/1488635,1,ltn00163
163,中山區,14,http://talk.ltn.com.tw/article/breakingnews/1487440,1,ltn00164
164,中山區,15,http://news.ltn.com.tw/news/society/breakingnews/1486672,1,ltn00165
165,中山區,16,http://news.ltn.com.tw/news/local/paper/926689,2,ltn00166
166,中山區,17,http://news.ltn.com.tw/news/life/breakingnews/1485465,2,ltn00167
167,中山區,18,http://news.ltn.com.tw/news/local/paper/925773,2,ltn00168
168,中山區,19,http://news.ltn.com.tw/news/business/breakingnews/1482670,2,ltn00169
169,中山區,20,http://news.ltn.com.tw/news/society/breakingnews/1482536,2,ltn00170
