,area,count,link,page
0,中正區,1,http://www.chinatimes.com/realtimenews/20151027004224-260410,1
1,中正區,2,http://www.chinatimes.com/realtimenews/20151027001838-260410,1
2,中正區,3,http://www.chinatimes.com/realtimenews/20151027005003-260402,1
3,中正區,4,http://www.chinatimes.com/newspapers/20151027000411-260106,1
4,中正區,5,http://www.chinatimes.com/realtimenews/20151026003323-260402,1
5,中正區,6,http://www.chinatimes.com/cn/realtimenews/20151027004224-260410,1
6,中正區,7,http://www.chinatimes.com/newspapers/20151027000684-260111,1
7,中正區,8,http://www.chinatimes.com/cn/realtimenews/20151027005003-260402,1
8,中正區,9,http://www.chinatimes.com/newspapers/20151026000779-260301,2
9,中正區,10,http://www.chinatimes.com/newspapers/20151026000157-260208,2
10,中正區,11,http://www.chinatimes.com/realtimenews/20151025002950-260403,2
11,中正區,12,http://www.chinatimes.com/realtimenews/20151025002839-260405,2
12,中正區,13,http://www.chinatimes.com/realtimenews/20151024001920-260402,2
13,中正區,14,http://www.chinatimes.com/newspapers/20151025000820-260306,2
14,中正區,15,http://www.chinatimes.com/newspapers/20151024001028-260306,2
15,大同區,1,http://www.chinatimes.com/realtimenews/20150725003788-260407,1
16,大同區,2,http://www.chinatimes.com/newspapers/20150816000385-260107,1
17,大同區,3,http://www.chinatimes.com/newspapers/20150718000501-260107,1
18,大同區,4,http://www.chinatimes.com/realtimenews/20150723003534-260405,1
19,大同區,5,http://www.chinatimes.com/newspapers/20150728000619-260107,1
20,大同區,6,http://www.chinatimes.com/newspapers/20150929000357-260102,1
21,大同區,7,http://www.chinatimes.com/newspapers/20150626000361-260210,1
22,大同區,8,http://www.chinatimes.com/newspapers/20150222000112-260102,1
23,大同區,9,http://www.chinatimes.com/realtimenews/20150508002527-260405,1
24,大同區,10,http://www.chinatimes.com/realtimenews/20151023005430-260402,2
25,大同區,11,http://www.chinatimes.com/newspapers/20151024000325-260102,2
26,大同區,12,http://www.chinatimes.com/newspapers/20151022000960-260303,2
27,大同區,13,http://www.chinatimes.com/realtimenews/20151021005171-260410,2
28,大同區,14,http://www.chinatimes.com/realtimenews/20151021003788-260410,2
29,大同區,15,http://www.chinatimes.com/newspapers/20151020000426-260106,2
30,大同區,16,http://www.chinatimes.com/realtimenews/20151018002962-260405,2
