,,area,content,count,data,link,page,title
0,0,中正區,〔記者林欣漢／基隆報導〕基隆大明蝦進入盛產時節，為打開銷路，基隆市中正區特定漁業產銷班第二班即日起推出1公斤（14～17隻）的大明蝦禮盒，原價1200元，推廣價999元，限量500盒。產銷班長廖信德說，每年中秋節後到農曆年節間是基隆大明蝦的盛產季，以前都是賣給大盤商，作為逢年過節送禮用，為推廣在地漁產讓更多消費者知道，特別設計適合小家庭食用的小包裝，市場反應不錯。基隆市政府產業發展處漁業行政科長何惠玫說，基隆大明蝦捕撈區域主要在彭佳嶼周邊，產量佔全國7成以上，大明蝦品質好又新鮮，川燙、蒜蓉蒸蝦或沙拉都很美味。訂購可電洽：班長廖信德0933-076805。基隆大明蝦進入盛產時節。（記者林欣漢攝）大明蝦有7成來自基隆。（記者林欣漢攝）大明蝦川燙、做沙拉都很美味。（記者林欣漢攝）,1,2015-10-28  17:07,http://news.ltn.com.tw/news/life/breakingnews/1490073,1,基隆大明蝦盛產 產銷班限量下殺促銷
1,1,中正區,〔記者盧賢秀／基隆報導〕基隆市信義地政事務所昨召開一○五年土地公告現值暨重新規定地價說明會，基隆最貴的地段仍在愛三路廟口周邊，大四美百貨大樓可望蟬聯地王，土地公告現值可能微幅調漲。昨天說明會轄區包括中正、仁愛、信義三個行政區，以信義區市價平均調幅達五％至十％最高，主要原因是田寮河整治水質改善，公園與步道等建設提升環境品質，也使房地產價格上揚；五期重劃區受萬瑞快速道路深澳坑匝道及東岸聯外道路通車影響，地價也上漲。至於中正區以中古屋為主，多集中於新豐街、調和街一帶，生活及居住環境成熟，有部分新建案完工，平均調幅為三％至五％。仁愛區商業發展較早，是以中古屋為主，只有零星買賣成交案例，平均調幅僅一％至二％。公園街和自來街一帶等老舊社區，從九十四年起公告土地現值和地價都負成長，明德里長許文杰認為，中山橋和三十一號橋將陸續改建，要求繼續調降公告土地現值和地價，不過鄰近的新火車站已經完工啟用，地政事務所人員認為宜持平。大四美大樓可望蟬聯地王，公告現值可能微幅調漲。（記者盧賢秀攝）,2,2015-10-28,http://news.ltn.com.tw/news/local/paper/927410,1,〈北部〉大四美百貨 可望蟬聯地王
2,2,中正區,〔記者吳佳蓉／台北報導〕房市冷颼颼，連帶影響地上權標案也「乏人問津」。財政部國有財產署昨公布今年第5批地上權案標脫情形，11宗中只有2宗標脫，標脫率不到2成，為近4年來最差成績。國產署副署長邊子樹表示，累計今年地上權總標脫金額僅28.7億元，確定無法達成全年30億元的目標。邊子樹說，昨日僅2宗地上權案標脫，分別為台北市中正區福和段二小段及台東縣台東市豐工段，得標價分別為2.6億元及848萬元，分別溢價6.04％及0.31％，由金富鴻國際貿易公司及本上公司得標；總計每年將繳給國庫224萬元地租。推測此次市場反應冷淡主因，邊子樹指出，主要與整體房市市況不佳有關，觀望氣氛濃厚，以及北市大面積精華區案源逐漸減少，誘因不足；近期房地持有稅上升氛圍，多少也衝擊到地上權市場。邊子樹表示，目前正在檢討，是否於年底前將年初二次流標的國泰營區、高雄陸軍服務社、北市「中山設計產業園區」與勞保基金於光華商場旁持有的「希望廣場」等大面積地上權案，釋出招商。房市冷颼颼，連帶影響地上權標案也「乏人問津」。（資料照）,3,2015-10-27,http://news.ltn.com.tw/news/business/paper/927224,1,地上權標脫率不到2成 近4年最差
3,3,中正區,位於台北市中正區衡陽路91號的兆豐銀行，發生銀行搶案，搶匪持槍身影曝光。（記者劉慶侯翻攝）〔記者姜翔、姚岳宏、劉慶侯／台北報導〕位於台北市中正區衡陽路91號的兆豐銀行，今天下午2時28分，有1名搶匪欲搶劫，但被警衛攔阻，歹徒持假槍敲擊警衛頭部後，未得手即逃逸，警衛傷勢目前由救護車處置，全案現由警方查緝歹徒身份中。據了解，該名歹徒戴口罩，身穿咖啡色上衣走進銀行時高喊「搶劫」，在銀行內擔任保全的30歲廖姓男子見狀，立即上前與歹徒扭打。當時這名戴口罩的搶匪第一次闖進銀行時，只高喊「不要動，搶劫」，疑似忘記「帶傢伙」，竟然又退出去，隔了約10秒，拿了把黑色槍枝又衝進來，這次還來不及說話，就與警衛扭打在一起，後來趁隙脫逃。衝突過程中，搶匪用槍托敲傷廖男的頭部，2人扭打後，搶匪隨即倉皇逃逸。警消到場後，廖男傷勢輕微，拒絕送醫。警方根據監視器及目擊者描述，犯嫌中等身材，戴著鴨舌帽與口罩，已鎖定車號積極追緝中。相關影音圖為受傷廖姓保全。（記者姜翔攝）位於台北市中正區衡陽路91號的兆豐銀行，今日下午2時28分，發生銀行搶案。（記者劉慶侯攝）位於台北市中正區衡陽路91號的兆豐銀行，今日下午2時28分，發生銀行搶案。（記者劉慶侯攝）,4,2015-10-26  16:15,http://news.ltn.com.tw/news/society/breakingnews/1487705,1,獨家》兆豐銀行搶匪身影曝光 警方追緝中
4,4,中正區,〔記者劉慶侯／台北報導〕位在台北市中正區衡陽路91號的兆豐銀行，今日下午2時28分，有1名搶匪欲搶劫，但被警衛攔阻，歹徒持假槍敲擊警衛頭部後，未得手即逃逸，警衛傷勢目前由救護車處置。全案現由警方查緝歹徒身份中。,5,2015-10-26  15:00,http://news.ltn.com.tw/news/society/breakingnews/1487634,1,持假槍搶兆豐銀未遂  歹徒傷警衛逃逸
5,5,中正區,〔記者黃欣柏／台北報導〕台北市1名楊姓女子，畢業後到科技公司上班，未料經常被老闆盧男刁難及拖欠薪資，楊父得知後大為光火，立刻衝到女兒公司找盧男談判，看盧男準備拿手機錄影存證，更氣得出手推打盧男成傷，今台北簡易庭判這名衝動老爸應賠償盧3000元，可上訴。判決指出，楊父因不滿盧男經常辱罵、刁難女兒，還藉故拖欠薪資，前年4月間跑到女兒位於北市中正區的公司找盧男談判，未料談判時盧男又當面吆喝楊女搬運貨物，且還拿出手機準備錄影蒐證，楊父見狀簡直氣炸，忍不住動手推打盧男，導致盧男撞上一旁雜物，右頸、右臂均擦傷。盧男不滿挨揍，事後提告求償48萬元精神慰撫金，楊父則認為女兒與公司的勞資糾紛已經在勞動局成立調解，並約定拋棄勞資糾紛衍生的相關民、刑事權利，此案也應視為是勞資糾紛衍生之案件，盧男不應再提起訴訟。台北簡易庭審理後認為，楊女雖跟公司成立調解，但非當事人的行為並不包含在內，楊父主張顯然無據，仍須為暴力行為賠償對方損失。台北市1名楊姓女子，畢業後到科技公司上班，未料經常被老闆盧男刁難及拖欠薪資，楊父得知後大為光火，立刻衝到女兒公司找盧男談判，示意圖，與本新聞無關。（情境照）,6,2015-10-22  17:03,http://news.ltn.com.tw/news/society/breakingnews/1484013,1,「誰敢欺負我女兒！」地表最強老爸揍老闆判賠3000元
6,6,中正區,〔記者徐義平／台北報導〕房價潰散從北市蛋黃區開始！房仲業者統計北市第三季房價表現，12個行政區不但已見不到每坪百萬元的單價，甚至跌破90萬元大關；其中，大安、信義相較去年第二季房價高點，跌幅均超過1成。信義房屋比較今年第三季和去年第二季北市平均電梯大樓房價變化，計有9個行政區每坪均價出現下跌，2個行政區持平，僅南港區小漲3％。其中，房價跌幅最深的屬市中心蛋黃區，包括大安區、信義區、中正區與松山區，房價下跌幅度位居北市前4名；大安、信義區每坪房價跌幅更超過10萬元。信義房屋不動產企研室專案經理曾敬德表示，市中心因房價水位最高，加上近年又是政策主要打擊對象，因此成為此次房價下跌震央；且市中心房價下跌趨勢向外擴散，和過去一年相比，台北市房價幾乎全面下跌，大台北以外地區也受到此波房價震波衝擊，將面臨修正命運。信義房屋統計北市每季房價表現，第三季住宅大樓房價修正幅度最大的區域主要在大安區，本季每坪均價約87.6萬元，相較2014年第二季高點時每坪均價約102.4萬元，每坪跌掉14.8萬元，跌幅約14.45％；信義區跌幅則居第二慘，本季每坪均價約88.1萬元，相較去年第二季高點的每坪約101.3萬元，一年時間每坪跌掉13.2萬元，跌幅約13.03％，紛紛跌破每坪百萬大關，甚至跌破每坪90萬元關卡，也導致北市本季沒有一個單價百萬的行政區。至於相對平價的區域，包括大同區、萬華區與文山區等，目前市場上相對低單價與低總價的買氣較為穩定，尤其是首購等自住民眾為主的購屋區段，房價與交易量都會相對穩定一些。房仲業者統計北市第三季房價表現，12個行政區不但已見不到每坪百萬元的單價，甚至跌破90萬元大關。（記者張嘉明攝）,7,2015-10-22,http://news.ltn.com.tw/news/business/paper/925898,1,北市蛋黃區房價走跌 大安信義每坪掉10萬元
7,7,中正區,台大醫院外科主治醫師楊卿堯、腫瘤科主治醫師蔡巧琳10月29日下午1時20分至4時30分，在該院兒童醫院B1視聽講堂（台北市中正區中山南路8號）分別主講「胰臟癌手術治療介紹」、「胰臟癌放射線治療介紹」。洽詢電話為（02）2312-3456轉66533。台大醫院兒童醫院B1視聽講堂舉辦胰臟腫瘤病友講座。（資料照，記者蘇孟娟攝）,8,2015-10-22,http://news.ltn.com.tw/news/life/paper/925938,1,《健康充電站》胰臟腫瘤病友講座
8,8,中正區,〔記者徐義平／台北報導〕根據房仲調查自家房價成交資訊，北市12個行政區中今年第三季房價相較去年第2季高點，計有9個行政區跌價，其中又以大安區及信義區跌幅最深，每坪跌掉超過10萬元，雙雙跌破單坪百萬元大關。根據信義房屋統計房價成交資料顯示，今年第3季和去年第2季的北市平均電梯大樓房價變化，其中台北市的12個行政區中，有9個行政區的平均房價下跌，其中市中心的蛋黃區房價跌幅最大，包括大安區、信義區、中正區與松山區，房價下跌幅度位居北市的前四名，其中大安區與信義區的電梯大樓每下跌超過10萬元。信義房屋不動產企研室專案經理曾敬德表示，市中心區域因為房價水準最高，加上又是政策主要打擊的對象，因此成為此次房價下跌的震央所在，且市中心房價下跌趨勢向外擴散，和過去一年相比台北市房價幾乎呈現全面下跌，且大台北以外的地區也逐漸感受到北部房價修正帶來的涼意。根據信義房屋統計北市每季度的房價表現來看，住宅大樓修正最大的地區落在大安區中，平均房價從2014年第2季的每坪102.4萬元，修正至現在的每坪87.6萬元，信義區則從每坪101.3萬元，下跌至每坪88.1萬元，大安區與信義區的房價下跌每坪超過10萬元，且雙雙跌破高檔每坪百萬元的房價水準。以大安區的指標成功國宅為例，景氣高點時每坪成交72~75萬元左右，但到現在行情可能剩下每坪63~65萬元左右，但若出現行情下的破盤價，很快又有買方順利成交，顯見雖然市中心區域房價經歷一段修正，但是中心的區域優越性與生活的便利性不變，價格經歷修正後的確可吸引買方進場購屋。至於相對平價的區域，包括大同區、萬華區與文山區等，目前市場上相對低單價與低總價的買氣較為穩定，尤其是首購等自住客為主的購屋區段，房價與交易量都會相對穩定一些，若與過去兩年的房價高檔相比，房價仍有一定的修正幅度，但表現略優於市中心的蛋黃區。根據房仲調查自家房價成交資訊，北市12個行政區中今年第三季房價相較去年第2季高點，計有9個行政區跌價，其中又以大安區及信義區跌幅最深，每坪跌掉超過10萬元，雙雙跌破單坪百萬元大關。（資料照，記者林耀文攝）,9,2015-10-21  15:21,http://news.ltn.com.tw/news/business/breakingnews/1482668,1,蛋黃區房價領跌  大安信義跌破每坪百萬
9,9,中正區,北市府推出「重陽節當日優惠專案」，65歲者只要持身分證、健保卡等證明文件即能免費搭乘捷運、貓空纜車，暢遊各風景區康樂場所或文教設施。（資料照，記者郭逸攝）〔記者何世昌／台北報導〕明天是重陽佳節，為鼓勵長者外出，北市府整合跨局處及有關單位資源，推出「重陽節當日優惠專案」，年滿65歲者，只要持身分證、健保卡等證明文件即能免費搭乘捷運、貓空纜車，且暢遊各風景區康樂場所或文教設施。優惠專案對象為全國65歲以上長者，以及北市55歲以上原住民。除了捷運、貓空纜車供免費搭乘；各運動中心、游泳池、文教場館也免費入場，包括：北市各行政區運動中心的健身房與游泳池（中正區運動中心因閉館整修除外）、青年公園游泳池及高爾夫球練習場、台北體育館羽球場及桌球室、天母網球場、葫蘆洲運動公園、博嘉運動公園、洲美運動公園、山豬窟游泳池，以及市立天文科學教育館、市立動物園、士林官邸正館。此外，原本即開放長者免費入場的場館，如市立美術館、台北偶戲館、自來水園區、兒童新樂園、芝山文化生態綠園、林語堂故居、李國鼎故居、二二八紀念館、草山行館及各親子館暨嬰幼兒物資交流中心等，則歡迎全國各地65歲以上長者免費來玩。北市府社會局提醒，長者務必隨身攜帶身分證明文件（身分證、健保卡、敬老悠遊卡等），上述場館才得免費入場，並備妥隨身藥品及輔具，另請陪同的家人注意長者安全。,10,2015-10-20  10:43,http://news.ltn.com.tw/news/life/breakingnews/1481132,1,重陽節好康 長者可免費搭捷運遊台北
