id,area,content,count,date,link,page,time,title
0,中正區,台北自來水事業處轄下有3萬用水戶因給水管是鉛管，引發鉛水疑慮，北水處針對轄內鉛管分布路段及區域，共600個檢測點進行水質量測，昨公布第一批鉛管水質檢驗資料，155個檢測點水質，只有7處未檢出鉛外，其餘148處均檢測出鉛，數值從每公升0.0010毫克到0.0069毫克不等，皆在飲用水水質標準範圍內。未來2周 再公布100處北水處承諾，3年內完成轄區鉛管汰換工作，北水處副處長陳曼莉表示，昨先公布首批155個檢測點的鉛管水質檢驗資料，包括台北市136個、新北市19個。其中，最高的是北市中正區中華路一段的每公升0.0069毫克，但含鉛量均低於飲用水水質標準每公升0.01毫克，未來每2周會再公布100個檢測點的數據，確保民眾用水。陳曼莉表示，水處官網已提供民眾以水費單上的水號，查詢是否為鉛管用戶，網站也提供鉛管問題說明供民眾下載。鉛管汰換 只換到水表前北水處承諾3年內完成大台北地區鉛管汰換，但汰換鉛管僅更換到水表前，至於從水表後方至住戶內的水管則屬民眾私有產權，水處不主動替民眾更換，民眾仍可能因住家內水管是鉛管而喝到鉛水。民進黨議員謝維洲昨天在民政部門質詢北市府建管處，希望針對老舊房舍屋內的鉛管有積極作法。建管處副處長史維斌表示，經查北市68年以前就存在的老舊房屋約有7萬多棟，但建物內水管是否都是鉛管，尚無法得知，如果住戶內管確實為鉛管，建管處會給予補助換管，預計1個月內完成補助方案。史維斌說，至於要如何認定住家內是否為鉛管，建管處也會與水處討論該如何認定，但因位7萬餘棟戶數實在太多，必須需花一些時間研議認定方法。,1,2015-10-27,http://udn.com/news/story/7266/1274252,1,02:56:24,大台北鉛管水質檢驗 155點僅7處沒鉛
1,中正區,財政部國產署今天公布今年第5批11宗國有地設定地上權開標結果，僅標脫2宗，標脫率未達 2成。國產署表示，今年不動產市況不佳，精華區大面積土地越來越少，是標脫率降低主因。累計國產署今年共推出46宗國有地設定地上權，總共標脫15宗，標脫率 32.6%；此外，國產署今年度國有地設定地上權決標權利金預算為30億元，但今年決標權利金收入僅28億7千萬餘元，已經確定無法達標。國產署副署長邊子樹表示，本次11宗地上權僅標出2宗，標脫率不及2成，為今年最差，主要是因為不動產市況不佳，業者轉趨觀望，加上精華區大面積土地越來越少，標的不夠吸引人所致。此次標脫的2宗國有地設定地上權，其中1宗位於台北市中正區，接近南華高中、思源街派出所與公館商圈，以 2億6666萬餘元標脫，得標人為「金富鴻國際貿易興業有限公司」；另一宗位於台東縣台東市，位於利家工業區內，以848萬餘元標脫，得標人為「本上企業有限公司」。這也是102年後，再次標脫東部地區土地。,2,2015-10-26,http://udn.com/news/story/6/1273474,1,18:22:14,房市寒冬 國有地設定地上權僅標脫2宗
2,中正區,今天下午14時28分，北市中正區衡陽路91號的兆豐銀行，一名男性搶匪打算搶劫，搶匪拿假槍敲擊年約30歲的廖姓警衛頭部後，未得手即逃逸，警衛傷勢由北市救護車處置中。警衛傷勢輕微，原本包紮後拒絕送醫 ，但在警方堅持下仍到醫院診治。警方指出，搶匪走進兆豐銀行時，先高喊我要搶劫啦，隨後退出銀行，接著又進銀行直接走到警衛旁邊，並未靠近櫃台，搶匪從紙箱中拿出一把假槍，拿槍托朝警衛頭部毆打，打完迅速逃逸。警方指出搶匪頭戴鴨舌帽，口罩。搭乘計程車往萬華地區離去，由於搶匪行為迥異以往搶案模式，警方目前除在現場採證外，並調閱路口監視器追查搶匪行蹤。,3,2015-10-26,http://udn.com/news/story/2/1273297,1,17:03:13,北市銀行搶案 嫌犯影像曝光
3,中正區,警方初步了解，搶匪走進兆豐銀行時，直接走到警衛旁邊，並未靠近櫃台；搶匪接近警衛後，拿出一把假槍高喊：「我要搶劫啦！」說話就拿槍托朝警衛頭部毆打，打完迅速逃逸。由於搶匪行為迥異以往搶案模式，警方目前除在現場採證外，並調閱路口監視器追查搶匪行蹤。,4,2015-10-26,http://udn.com/news/story/2/1273226,1,16:34:03,北市銀行搶案 搶匪打傷警衛就跑
4,中正區,今天下午14時28分，北市中正區衡陽路91號(兆豐銀行)，一名搶匪打算搶劫，拿假槍敲擊年約30歲的警衛頭部後，未得手即逃逸，警衛傷勢由北市救護車處置中。警衛傷勢輕微，包紮後拒絕送醫。,5,2015-10-26,http://udn.com/news/story/2/1273225,1,16:32:12,北市銀行搶案 未得手傷警衛逃脫
5,中正區,今天下午14時28分，北市中正區衡陽路91號(兆豐銀行)，一名搶匪打算搶劫，拿假槍敲擊年約30歲的警衛頭部後，未得手即逃逸，警衛傷勢由北市救護車處置中。警衛傷勢輕微，包紮後拒絕送醫。,6,2015-10-26,http://udn.com/news/story/2/1273223,1,16:32:17,北市銀行搶案 警方說明案情
6,中正區,今天下午14時28分，北市中正區衡陽路91號(兆豐銀行)，一名搶匪打算搶劫，拿假槍敲擊年約30歲的警衛頭部後，未得手即逃逸，警衛傷勢由北市救護車處置中。警衛傷勢輕微，包紮後拒絕送醫。博愛特區兆豐銀遭搶 犯嫌失手跑步逃逸【中央社／台北26日電】台北市衡陽路兆豐國際商業銀行今天下午2時許遭犯嫌持槍行搶，警方表示，兆豐銀行未有財損、1名30歲警衛受輕傷、無民眾受傷，犯嫌失手後跑步逃逸，警方全力追緝。緊鄰台北市政府警察局的兆豐銀行下午2時許傳出搶案，北市府警局中正第一分局偵查隊長黃水願說，一名疑持假槍行搶的嫌犯在過程中與警衛肢體衝突，持槍敲擊警衛頭部後跑步逃逸，目前警方調閱監視器追緝。他說，嫌犯行搶後未得手，沒傳出財物損失或現場民眾受傷。北市府消防局表示，警衛遭手槍敲擊頭部後受輕傷，經救護員初步包紮後已無大礙。由於警衛拒絕送醫，目前在警局製作筆錄。,7,2015-10-26,http://udn.com/news/story/2/1273004,1,14:49:06,北市衡陽路銀行搶案 未得手傷警衛逃脫
7,中正區,八十五歲的灣生奶奶家倉多惠子，父親是日據時期總督府職員，她北一女畢業後，因台灣光復被迫遣返日本，多年來難忘出生地，但在日本的戶籍資料只有薄薄兩頁，在台生活成為生命中的一段空白。家倉去年隨「灣生回家」電影劇組返台尋根，在大安區戶政事務所幫忙下調閱家族的戶籍謄本，看著寫上父母姓名的毛筆字跡，家倉掩面哽咽地和戶所人員說，終於領到出生戶籍謄本，把人生遺失的部分填補起來，她向天上的父親說：「爸爸，我回台灣了。」莊麗花說，當年台灣人教育程度不普及，從名字就略知一二。許多人以「闊嘴」、「豬」、「憨」等字隨意取名，而「查某」、「罔氏」是當時的「菜市場名」，和現在的「怡君」、「雅婷」等普遍程度不相上下。民政局科長洪進達表示，從戶口調查簿也可看出當時人口聚集狀況，日據時期的大同區最熱鬧，其次為萬華區、中正區，現在寸土寸金的信義區竟連一戶也沒有。原因是信義區人口少，戶籍資料多併入松山區。洪進達說，雖然戶役政資料已在一九九七年全面電子化，但這些珍貴史料仍須永久保存，民政局超過五十一萬戶的史料分別保存在局內和各區公所；民眾若想尋根或找尋失散已久的親人，也可持身分證到任一戶所申請調閱直系親屬的日據時期戶口名簿掃描檔，循毛筆字跡遙想先人的生活情景。,8,2015-10-25,http://udn.com/news/story/6655/1270657,1,03:08:05,北市日據戶口名簿 灣生、陸客尋根之鑰
8,中正區,國民黨立委參選人郝龍斌昨前往安樂市場請託拜票，力爭民眾支持，他和攤商、民眾握手展現親和力，並發送競選文宣小物菜瓜布，1個多小時就送完3千個。郝龍斌說，他已在基隆買房子置產，看好基隆的未來。郝龍斌昨天早上至安樂市場掃街拜票，獲得婆婆媽媽熱情回應，並大喊郝龍斌加油！他逐一和攤商打招呼、握手拜票，民眾上前要求合照都來者不拒，展現十足親和力。他站在市場口發送菜瓜布，民眾稱實用，還有人主動索取。郝龍斌最近一大早就出門拜票，他已住在信義區東信路的信義花園社區，郝龍斌表示，基隆居住環境與生活品質不亞於台北，而且市民都非常友善，在地美食更是讓他嚮往，雖然新房子沒有面海，但感覺很舒適，尤其風景很漂亮，基隆的未來很有希望。親民黨立委參選人劉文雄昨天到中正區新豐街等掃街拜票，他進入每個商店向民眾握手，親和力十足。民國黨參選人楊石城則深入社區拜票，爭取基層票源。民進黨參選人蔡適應也馬不停蹄參加多個社團活動，爭取支持。,9,2015-10-25,http://udn.com/news/story/7741/1270406,1,03:07:08,基隆立委／跑基層 參選人展現親和力
9,中正區,誰會在麥當勞旁邊賣漢堡？一對六旬的老夫妻真的這麼做了，沒有店面、沒有店名，售價75元的牛肉堡，吸引老顧客一再回籠，老闆陳先生說，獨門醬汁是漢堡好吃的秘訣。黃底紅字的招牌寫著斗大的「牛肉堡」的漢堡攤，攤位雖小，但買漢堡的人潮不間斷，老闆陳先生與太太今年9月中旬才開始擺攤，陳先生說，「整條新豐街看來看去都是傳統小吃，沒賣漢堡，所以才選在這裡賣。」過去他們在台北木柵一帶賣漢堡，休息一陣子之後才改來基隆，攤位上簡單的醬料、食材和用具，都是自家調製準備好帶來，下午3點半開始，賣到沒貨就收攤，陳先生說，獨門醬汁是漢堡好吃的秘訣，因為獨門又特別，堅持不透漏。牛肉漢堡有原味、雙起士、雙培根和花生醬4種口味，70元起跳，此外還兼賣肉醬、蘑菇、黑胡椒口味炒麵，通通45元，俗勾大碗。滿滿餡料的漢堡內有生鮮蔬菜、半融化的彈牙起士和澳洲牛肉漢堡排，外層是煎過的酥脆漢堡麵包，物超所值。怎麼去?地址：基隆市中正區新豐街251巷巷口（麥當勞旁）營業時間：每天下午3點半到晚上11點左右,10,2015-10-23,http://udn.com/news/story/7210/1266639,1,11:50:34,有膽！麥當勞旁賣漢堡 老饕識貨狂回籠
